"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",1,"77e84962","Thiago Alcántara","Liverpool","Premier League",172,59,"Midfielder","Right","Spain",31.52,"Thiago Alcántara - 31.52 - Liverpool",0.07,0.11,0.07,0,0,0.14,0,0.06,0.06,0.1,0.16,1.14,0.32,28.1,0.06,0.22,21.1,0,0.06,0.01,0.01,74.93,83.89,89.3,1560.77,421.01,27.15,29.24,92.8,33.15,35.96,92.2,13.61,16.52,82.4,1.28,10.45,1.24,0.07,9.45,82.22,1.67,1.24,0.14,11.83,3.94,0.14,0.04,0,0.04,0,63.78,7.67,12.44,6,73.55,2.1,0.21,0.46,0.14,0.92,1.99,1.21,2.98,2.63,0,0.07,0.11,0.04,0.14,0.25,0.25,0,0,0,0,0,3.3,2.35,0.85,1.85,0.6,0.78,2.31,33.8,1.53,19.01,6.75,35.5,4.55,10.06,4.41,1.31,0.11,0,2.66,5.97,1.03,0.11,95.33,2.17,16.27,63.39,21.5,1.03,93.87,0.89,1.49,59.5,0.89,0,69.71,298.46,155.48,7.71,2.38,0.14,0.39,1.17,75.11,71.28,94.9,2.56,0,1.53,1.95,0,0,0.04,0,12.26,1.85,1.24,59.8,3
"2",31,"935e6b8f","Jordan Henderson","Liverpool","Premier League",182,67,"Midfielder","Right","England",32.34,"Jordan Henderson - 32.34 - Liverpool",0.06,0.14,0.06,0,0,0.06,0,0.04,0.04,0.15,0.19,1.05,0.14,13.5,0.05,0.4,23,0.06,0.04,0.01,0.01,65.63,78.01,84.1,1241.81,288.31,28.08,31,90.6,27.29,31.28,87.2,9.1,12.78,71.2,1.53,6.8,1.98,0.34,6.29,75.8,2.21,0.77,0.37,9.63,1.96,1.62,0.06,0,0.03,0,55.68,8.59,13.74,10.48,63.14,2.58,0.62,0.37,0.2,0.77,2.41,0.94,2.95,2.81,0.09,0.03,0,0,0.03,0.34,0.34,0,0,0,0,0,1.42,0.82,0.4,0.85,0.17,0.62,1.59,39.3,0.96,15.08,4.68,31,3.34,8.1,3.63,1.11,0.17,0,1.53,2.95,0.6,0,85.38,1.7,11.31,52.71,25.82,1.59,83.17,0.54,0.79,67.9,0.57,0.09,56.9,241.89,108.25,4.56,2.01,0.06,0.77,0.43,71.35,66.05,92.6,3.57,0,1.02,0.51,0.03,0,0,0,11.14,0.94,0.77,55,3
"3",39,"45db685d","Jorginho","Chelsea","Premier League",180,64,"Midfielder","Right","Italy",30.84,"Jorginho - 30.84 - Chelsea",0.29,0.09,0,0.29,0.32,0.18,0,0.27,0.02,0.11,0.13,0.41,0.09,21.4,0,0,29.4,0,0.06,0.02,-0.02,67.32,74.98,89.8,1202.34,278.6,29.13,31.34,93,30.98,33.63,92.1,6.24,8.22,76,1.09,6.8,1.41,0,6.21,72.95,2.03,2,0.29,11.81,1,0.12,0.03,0,0,0,60.79,5.65,8.54,4.86,67.21,2.09,0,0.15,0.06,0.65,2.15,1.41,2.5,2.27,0.03,0.03,0.06,0.09,0.03,0.32,0.32,0,0,0,0,0,2.65,1.59,0.97,1.33,0.35,1,2.71,37,1.71,17.46,6.39,36.6,5.6,8.81,3.06,1.5,0.09,0,2.47,5.12,0.74,0.06,84.64,1.86,17.02,53.36,19.05,0.68,82.78,0.59,0.85,69,0.62,0.06,58.55,242.91,125.69,5.48,1.44,0.03,0.56,0.71,65.64,63.23,96.3,1.33,0,1.68,2.09,0,0,0.03,0,10.69,0.77,1.21,38.8,3
"4",40,"cc77354e","Boubacar Kamara","Aston Villa","Premier League",178,68,"Midfielder","Right","France",22.91,"Boubacar Kamara - 22.91 - Aston Villa",0,0,0,0,0,0.18,0,0.02,0.02,0.04,0.06,0.6,0.03,5,0,0,19.9,0,0.04,-0.02,-0.02,68.69,75.74,90.7,1258.3,270.51,30.53,32.32,94.5,28.05,29.87,93.9,8.65,11.16,77.5,0.48,5.28,0.39,0.06,3.91,73.56,2.18,1.91,0.18,11.31,2.57,0.3,0,0,0,0,61.05,5.16,9.52,9.73,62.13,2.03,0.24,0.24,0.06,0.95,1.22,1.07,1.16,0.98,0,0.03,0.06,0.06,0.03,0.06,0.03,0,0,0,0.03,0,3.13,1.97,1.31,1.52,0.3,0.98,2.03,48.5,1.04,16.44,6.62,40.3,5.94,8.24,2.27,1.58,0.51,0,2.33,5.46,2,0,86.93,3.7,23.07,55.06,12.26,1.1,84.99,0.36,0.6,60,0.39,0.06,57.29,222.34,100.83,3.67,0.72,0.03,0.57,0.78,67.83,65.05,95.9,1.52,0,1.91,1.55,0,0.03,0.03,0,9.37,1.88,1.4,57.3,3
"5",44,"79c0821a","Mateo Kovačić","Chelsea","Premier League",181,74,"Midfielder","Right","Croatia",28.45,"Mateo Kovačić - 28.45 - Chelsea",0.05,0.14,0.05,0,0,0.24,0,0.06,0.06,0.17,0.23,0.96,0.14,15,0.05,0.33,21.2,0,0.06,-0.01,-0.01,66.47,74.74,88.9,1255.19,298.01,25.07,27.63,90.8,32.1,34.27,93.7,7.94,10.49,75.7,1.49,9.67,1.44,0.1,7.56,73.68,1.06,1.01,0.53,8.62,1.59,0.34,0,0,0,0,62.66,5.25,6.83,3.18,69.88,1.01,0.05,0.24,0.24,0.91,2.26,1.11,3.03,2.7,0,0.1,0.19,0.05,0,0.19,0.19,0,0,0,0,0,2.55,1.93,0.58,1.54,0.43,0.63,1.73,36.1,1.11,20.02,6.74,33.7,5.39,11.41,3.22,1.2,0.1,0,0.87,3.42,0.58,0.05,84.08,0.87,12.8,56.55,22.04,0.63,83.17,1.49,1.93,77.5,1.54,0.05,65.84,357.64,179.04,7.84,3.08,0.19,0.96,1.64,70.84,68.1,96.1,1.68,0,1.59,1.78,0,0,0,0,9.14,0.43,0.53,45,3
"6",73,"6434f10d","Rodri","Manchester City","Premier League",190,78,"Midfielder","Right","Spain",26.32,"Rodri - 26.32 - Manchester City",0.14,0.11,0.14,0,0,0.16,0,0.07,0.07,0.05,0.12,1.4,0.34,24.2,0.1,0.4,18.1,0,0.05,0.06,0.06,84.92,91.76,92.5,1738.13,341.74,30.48,32.27,94.5,40,42.32,94.5,13.9,16.09,86.4,0.77,8.38,0.97,0.02,5.69,90.52,1.24,1.08,0.09,13.47,3.55,0.29,0,0,0,0,72.58,6.96,12.22,11.41,75.11,2.94,0.14,0.09,0.11,0.56,1.4,1.33,2.28,1.99,0.02,0.05,0.16,0.02,0.05,0.27,0.27,0,0,0,0,0,2.21,1.54,0.84,1.11,0.27,0.79,1.76,44.9,0.97,15.41,5.29,34.3,4.41,8.13,2.87,1.58,0.25,0,1.29,3.5,1.51,0,101.12,2.98,20.11,66.05,21.1,1.9,100.03,0.41,0.63,64.3,0.43,0.02,72.78,319.91,164.12,6.8,1.54,0.2,0.5,0.77,80.96,78.91,97.5,1.72,0,1.74,0.99,0.02,0,0,0,12.92,2.82,1.29,68.7,3
"7",111,"375622c5","Jordan Ferri","Montpellier","Ligue 1",172,69,"Midfielder","Right","France",30.6,"Jordan Ferri - 30.6 - Montpellier",0,0.1,0,0,0,0.39,0,0.01,0.01,0.08,0.09,0.45,0.06,14.3,0,0,25.1,0,0.02,-0.01,-0.01,63.69,75.81,84,1322.53,427.16,24.01,26.47,90.7,26.5,29.19,90.8,11.95,17.49,68.3,0.84,6.48,0.78,0.1,6.84,72.64,3.17,2.14,0.03,9.72,3.01,0.68,0.03,0,0,0,56.14,6.38,13.28,3.37,68.97,1.88,0.91,0.19,0.26,0.94,2.27,0.71,2.04,1.75,0,0,0.1,0.16,0.03,0.16,0.16,0,0,0,0,0,1.78,1.26,0.97,0.78,0.03,0.71,2.4,29.7,1.68,15.91,5.31,33.4,7.32,6.93,1.65,0.91,0.19,0,1.17,2.95,1.04,0,84.88,3.63,29.38,51.03,11.5,0.42,82.35,0.97,1.49,65.2,1.04,0.06,61.98,316.1,182.24,5.05,1.26,0.06,0.71,1.81,68.03,65.25,95.9,1.04,0,1.59,2.27,0,0,0.06,0,11.34,0.65,1.07,37.7,3
"8",114,"868eaba0","Johan Gastien","Clermont Foot","Ligue 1",181,66,"Midfielder","Right","",34.73,"Johan Gastien - 34.73 - Clermont Foot",0.03,0.06,0.03,0,0,0.28,0.03,0.03,0.03,0.08,0.11,0.85,0.28,33.3,0.04,0.11,24,0.03,0.04,0,0,66.47,81.56,81.5,1492.36,469.59,20.76,23.44,88.6,29.58,33.58,88.1,15.15,22.37,67.7,0.91,6.3,0.76,0.16,6.36,74.91,6.65,4.91,0.09,7.02,4.69,0.72,1.32,0.54,0.44,0.16,58.75,6.77,16.03,12.03,66.44,2.08,0.35,0.16,0.28,1.1,2.9,1.13,2.17,1.48,0.47,0,0.13,0.06,0.03,0.32,0.19,0.09,0,0,0.03,0,1.83,1.39,0.85,0.88,0.09,0.88,2.99,29.5,2.11,18.05,5.7,31.6,5.95,9.83,2.27,1.51,0.38,0,2.33,4.16,1.54,0.03,90.66,6.02,33.23,50.02,11.84,0.63,84.24,0.54,0.85,63,0.6,0.06,59.82,246.63,121.79,3.56,0.66,0.09,0.41,0.79,67.41,65.08,96.5,0.95,0,0.91,1.29,0,0,0,0.03,10.33,0.69,0.76,47.8,3
"9",133,"468fdbad","Jonas Martin","Lille","Ligue 1",182,69,"Midfielder","Right","",32.52,"Jonas Martin - 32.52 - Lille",0,0.05,0,0,0,0.32,0,0.03,0.03,0.06,0.09,0.6,0.09,15.4,0,0,17.8,0,0.06,-0.03,-0.03,67.41,74.6,90.4,1254.2,304.42,29.13,31.64,92.1,28.62,30.76,93.1,8.54,10.44,81.8,0.46,5.75,0.42,0,4.41,71.81,2.78,2.51,0.14,9.28,2.23,0.28,0,0,0,0,60.96,5.98,7.65,9.7,60.82,2.69,0.28,0.46,0.09,0.88,1.39,0.84,1.25,1.11,0.05,0,0.05,0.05,0,0.14,0.09,0,0,0,0.05,0,1.53,0.84,0.74,0.79,0,0.84,2.27,36.7,1.44,14.2,3.66,25.8,4.96,7.65,1.58,1.07,0.23,0,1.53,3.06,1.3,0,82.39,2.51,18.28,57.99,9.97,0.74,79.61,0.14,0.19,75,0.19,0,57.8,220.69,100.95,3.8,0.79,0.05,0.79,0.51,64.53,62.35,96.6,0.7,0,1.39,0.84,0,0,0,0,10.35,1.02,1.02,50,3
"10",141,"dff153a4","Leandro Paredes","Paris S-G","Ligue 1",182,74,"Midfielder","Right","Argentina",28.3,"Leandro Paredes - 28.3 - Paris S-G",0.05,0.21,0.05,0,0,0.36,0,0.03,0.03,0.08,0.1,0.83,0.1,12.5,0.06,0.5,26.3,0.05,0.03,0.03,0.03,80.36,85.85,93.6,1504.35,442.8,32.33,33.78,95.7,37.93,39.33,96.4,9.38,11.09,84.6,0.98,8.29,0.47,0,6.58,81.35,4.51,3.42,0.16,6.42,2.12,0.16,0.67,0.41,0.16,0,75.08,4.87,5.91,6.37,77.77,0.83,0.41,0.16,0.05,0.36,1.24,0.57,2.02,1.55,0.36,0.05,0.05,0,0,0.36,0.16,0.1,0.05,0.05,0,0,2.54,1.76,1.09,1.09,0.36,0.88,2.33,37.8,1.45,13.06,4.77,36.5,4.97,6.01,2.07,1.19,0.62,0,1.45,3.99,0.31,0.05,92.8,3.99,24.61,60.98,12.33,0.16,88.91,0.31,0.52,60,0.31,0,66.99,289.48,148.08,4.72,0.98,0.05,0.41,0.52,75.29,73.47,97.6,0.57,0,1.45,1.19,0,0,0.05,0,8.6,0.31,0.36,46.2,3
