"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",2,"2886c9b5","Shandon Baptiste","Brentford","Premier League",180,74,"Midfielder","Right","Grenada",24.53,"Shandon Baptiste - 24.53 - Brentford",0.08,0,0.08,0,0,0.08,0,0.06,0.06,0.09,0.17,0.87,0.4,45.5,0.09,0.2,18.3,0,0.08,0.02,0.02,28.08,33.14,84.7,500.93,108.82,13.13,14.55,90.2,10.68,12.18,87.7,3.4,4.75,71.7,1.11,2.21,0.79,0,2.77,32.82,0.32,0.16,0.16,5.85,0.63,0.32,0,0,0,0,26.18,3.08,3.88,5.69,25.62,0.87,0.16,0.08,0.08,0.4,1.19,1.03,1.82,1.34,0,0.16,0,0.16,0.16,0.32,0.16,0,0,0,0.08,0.08,1.19,0.55,0.79,0.16,0.24,0.4,1.74,22.7,1.34,18.66,5.77,30.9,5.54,8.7,4.43,1.19,0.16,0,1.74,2.93,1.34,0,44.13,1.5,10.28,22.94,14.63,1.66,43.81,1.34,1.9,70.8,1.34,0,31.87,162.6,93.95,4.51,1.66,0.16,1.82,1.11,39.86,29.18,73.2,3.88,0,1.19,1.58,0.16,0,0,0,8.23,1.11,2.06,35,1
"2",8,"2afc7272","Lewis Cook","Bournemouth","Premier League",175,69,"Midfielder","Right","England",25.7,"Lewis Cook - 25.7 - Bournemouth",0,0.11,0,0,0,0,0,0.01,0.01,0.1,0.12,0.32,0,0,0,NA,23.2,0.11,0.04,-0.01,-0.01,31.01,38.79,79.9,590.78,146.07,12.21,13.94,87.6,14.59,16.42,88.8,4,6.37,62.7,1.3,2.7,0.86,0.32,3.13,36.63,2.16,1.62,0,4.86,0.76,0.97,0.54,0.43,0.11,0,28.09,4.43,6.27,4.11,31.98,2.27,0,0,0.22,0.32,1.19,1.19,1.73,1.4,0.32,0,0,0,0,0.22,0.22,0,0,0,0,0,1.94,0.97,0.76,0.97,0.22,0.86,1.94,44.4,1.08,15.13,4,26.4,5.4,7.35,2.38,1.51,0.32,0,1.51,3.46,1.19,0,48.19,3.46,16.42,24.2,10.7,0.22,45.92,0.22,0.76,28.6,0.22,0.11,27.23,152.12,77.03,2.59,0.76,0,0.32,1.08,29.06,27.33,94.1,0.22,0,0.97,0.54,0,0,0,0,10.37,0.43,0.97,30.8,1
"3",9,"60344e4f","Josh Dasilva","Brentford","Premier League",175,68,"Midfielder","Left","England",23.99,"Josh Dasilva - 23.99 - Brentford",0.25,0,0.25,0,0,0.12,0.12,0.02,0.02,0.07,0.1,0.61,0.37,60,0.4,0.67,16.6,0,0.05,0.22,0.22,29.84,37.57,79.4,546.63,143.04,13.26,15.23,87.1,12.65,15.47,81.7,3.32,5.03,65.9,0.86,1.72,1.72,0.49,2.82,36.22,1.35,0.37,0,7.12,0.49,2.21,0.49,0.25,0,0,28.49,4.42,4.67,28.98,6.02,1.35,0.37,0.12,0,0.61,1.23,1.47,1.84,1.72,0,0,0,0.12,0,0.12,0.12,0,0,0,0,0,1.23,0.49,0.49,0.37,0.37,0.25,1.23,20,0.98,15.84,3.32,20.9,2.95,9.21,3.68,1.96,0.49,0,0.98,2.21,1.47,0,48.5,2.09,10.07,22.59,20.26,2.7,47.39,1.6,2.33,68.4,1.72,0,35.73,223.47,136.04,5.4,2.7,0.86,1.6,1.35,38.43,32.41,84.3,4.17,0,1.11,1.11,0,0,0,0,8.1,0.74,0.86,46.2,1
"4",10,"9228b07c","Tom Davies","Everton","Premier League",180,69,"Midfielder","Right","England",24.3,"Tom Davies - 24.3 - Everton",0.18,0,0.18,0,0,0.55,0,0.22,0.22,0.02,0.26,1.65,0.37,22.2,0.11,0.5,15.2,0,0.14,-0.04,-0.04,22.78,30.67,74.3,405.92,102.49,11.76,14.14,83.1,7.71,10.29,75,2.76,4.04,68.2,0.18,2.2,0.18,0,2.39,30.31,0.37,0.18,0,6.8,0.92,0.18,0,0,0,0,20.2,4.96,5.51,3.12,24.61,1.47,0,0,0,1.29,0.92,1.1,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1.65,1.47,0.55,0.92,0.18,0.37,1.47,25,1.1,15.06,4.96,32.9,5.88,7.16,2.02,1.29,0.18,0,2.57,4.22,2.76,0,44.45,3.67,12.67,24.06,9.18,2.57,44.08,0.55,0.92,60,0.73,0,22.04,91.84,40.22,1.47,0.37,0.18,0.92,0.73,29.94,24.8,82.8,2.57,0,1.29,1.29,0.18,0,0,0,8.63,2.02,2.02,50,1
"5",12,"5a7301ae","Leander Dendoncker","Aston Villa","Premier League",178,83,"Midfielder","Right","Belgium",27.51,"Leander Dendoncker - 27.51 - Aston Villa",0.09,0.05,0.09,0,0,0.14,0,0.13,0.13,0.01,0.14,1.04,0.54,52.2,0.09,0.17,14.9,0,0.12,-0.04,-0.04,33.31,38.2,87.2,592.3,110.98,14.73,16.9,87.1,14.09,15.18,92.8,3.58,4.21,84.9,0.5,2.18,0.14,0,1.68,37.48,0.73,0.59,0,5.98,0.59,0.5,0,0,0,0,30.18,3.44,4.58,6.3,28.37,2.04,0.14,0.14,0.05,0.27,1.09,1.63,1.31,1.18,0,0,0.05,0.05,0.05,0.27,0.18,0,0,0.05,0,0.05,2.04,1.13,1,0.91,0.14,0.91,1.95,46.5,1.04,19.31,5.39,27.9,7.84,9.11,2.36,2.08,0.45,0,1.4,3.44,1.4,0,47.4,2.72,13.32,25.97,10.42,1.72,46.68,0.32,0.77,41.2,0.36,0.09,26.96,113.2,44.77,1.4,0.63,0.05,0.82,0.23,34.98,30.41,86.9,2.04,0,0.82,0.41,0,0,0,0,8.16,1.72,1.86,48.1,1
"6",14,"11ff3d56","Ibrahima Diallo","Southampton","Premier League",179,69,"Midfielder","Right","France",23.61,"Ibrahima Diallo - 23.61 - Southampton",0,0.16,0,0,0,0.16,0,0.02,0.02,0.07,0.1,0.72,0.32,44.4,0,0,26.5,0,0.03,-0.02,-0.02,30.03,37.43,80.2,519.13,109.99,14.81,17.44,84.9,12.27,14.5,84.6,2.47,3.98,62,1.19,3.66,0.32,0.08,2.15,36.96,0.48,0.4,0.08,6.45,0.64,0.56,0,0,0,0,28.59,3.11,5.73,4.06,30.98,1.27,0,0,0.08,0.96,1.43,1.19,2.07,1.75,0,0.16,0,0.08,0.08,0.24,0.24,0,0,0,0,0,2.15,1.59,1.04,0.8,0.32,0.56,1.59,35,1.04,18.24,5.02,27.5,5.65,9,3.58,1.19,0,0,1.51,3.66,1.19,0,47.47,2.07,9,27.72,14.26,0.88,47.15,1.19,1.91,62.5,1.51,0,31.62,165.9,80.12,4.06,1.67,0.08,0.96,1.35,34.73,29.87,86,1.12,0,1.51,1.19,0,0,0,0,10.19,1.35,1.19,53.1,1
"7",15,"02b29014","Abdoulaye Doucouré","Everton","Premier League",180,59,"Midfielder","Right","Mali",29.79,"Abdoulaye Doucouré - 29.79 - Everton",0,0,0,0,0,0.14,0,0.08,0.08,0.05,0.12,1.01,0.28,27.3,0,0,16.6,0,0.08,-0.08,-0.08,29.37,37.3,78.7,462.54,97.01,15.35,17.89,85.8,11.16,13.74,81.2,1.94,3.46,56,0.55,2.44,0.74,0,2.67,36.52,0.78,0.46,0,8.62,0.37,0.28,0,0,0,0,27.66,5.58,4.06,3.55,30.25,1.75,0.09,0.23,0.09,0.6,1.38,1.2,1.34,1.15,0,0.05,0.09,0,0.05,0.09,0.05,0,0,0.05,0,0,2.81,1.89,1.29,1.38,0.14,0.69,2.26,30.6,1.57,22.87,6.64,29,8.21,11.25,3.41,1.52,0.32,0,1.34,4.15,0.88,0,47.49,2.54,11.62,26,12.26,1.8,46.8,0.46,1.15,40,0.51,0,26.93,125.96,70.17,2.86,1.06,0.18,1.15,0.69,31.17,26.14,83.9,1.94,0,1.71,0.6,0,0,0.05,0,12.31,1.61,2.17,42.7,1
"8",20,"ae4fc6a4","Eberechi Eze","Crystal Palace","Premier League",173,69,"Midfielder","Right","England",24.3,"Eberechi Eze - 24.3 - Crystal Palace",0.19,0.19,0.19,0,0,0.06,0,0.11,0.11,0.15,0.26,1.71,0.38,22.2,0.11,0.5,22.7,0.32,0.07,0.08,0.08,33.79,43.26,78.1,606.19,159.79,15.85,18.13,87.5,12.88,14.97,86.1,4.36,8.46,51.5,1.52,2.46,1.01,0.25,3.54,37.58,5.68,2.4,0.19,7.71,1.96,1.58,2.65,1.14,0.76,0.13,30.38,4.99,7.89,6.57,33.73,1.52,0.06,0.32,0.44,0.76,2.02,0.88,3.35,1.58,1.07,0.32,0.06,0.13,0.19,0.44,0.19,0.13,0.13,0,0,0,1.2,0.76,0.51,0.44,0.25,0.57,1.26,45,0.69,11.87,3.6,30.3,3.35,5.94,2.59,0.95,0.06,0,1.26,2.46,0.32,0,55.07,0.95,9.92,29.68,20.02,2.08,49.71,2.21,3.54,62.5,2.21,0.19,39.6,205.77,114.95,4.74,1.83,0.76,1.77,2.08,43.71,36.32,83.1,4.61,0,0.69,2.53,0.06,0,0,0,7.96,1.26,1.52,45.5,1
"9",25,"c2731c10","Conor Gallagher","Chelsea","Premier League",182,73,"Midfielder","Right","England",22.7,"Conor Gallagher - 22.7 - Chelsea",0.24,0.07,0.24,0,0,0.38,0.03,0.15,0.15,0.14,0.29,1.41,0.55,39,0.17,0.44,17.5,0.1,0.11,0.09,0.09,31.79,41,77.5,565.6,129.48,15.4,17.42,88.4,11.72,14.12,83,3.95,7.49,52.8,1.24,2.82,0.89,0.38,2.34,36.53,4.47,1.89,0.07,6.94,1.58,2.1,1.89,0.82,0.52,0.1,27.7,5.09,8.21,3.26,35.29,1.2,0.21,0.1,0.21,0.82,1.17,1.51,2.65,1.55,0.62,0.07,0.14,0.21,0.07,0.31,0.17,0.03,0.07,0,0,0.03,2.41,1.55,1.03,0.86,0.52,0.48,1.86,25.9,1.37,23.88,7.11,29.8,6.15,10.89,6.84,1.79,0.27,0,1.62,4.02,0.72,0,54.19,1.62,9.59,26.77,20.93,2.96,50.07,1.41,2.34,60.3,1.55,0.07,36.08,169,71.48,3.75,1.37,0.45,1.65,1.62,40.38,33.57,83.1,4.67,0.03,2.47,2.23,0.03,0,0,0,8.59,1.13,1.2,48.5,1
"10",34,"6ca5ec4b","Alex Iwobi","Everton","Premier League",180,74,"Midfielder","Right","Nigeria",26.46,"Alex Iwobi - 26.46 - Everton",0.1,0.14,0.1,0,0,0.07,0,0.05,0.05,0.12,0.16,0.75,0.24,31.8,0.14,0.43,19.9,0,0.06,0.05,0.05,29.57,37.85,78.1,532.34,182.01,14,15.91,88,10.59,13.22,80.2,4.05,6.81,59.5,1.53,3.37,1.57,0.48,3.61,35.84,2.01,0.2,0.2,5.48,0.92,1.29,0,0,0,0,26.2,5.08,6.57,3.47,31.2,1.02,1.74,0.17,0.14,0.48,1.64,1.53,2.49,2.32,0.07,0.07,0,0,0.03,0.24,0.24,0,0,0,0,0,2.11,1.19,1.12,0.72,0.27,0.82,2.08,39.3,1.26,21.09,6.47,30.7,7.7,8.93,4.46,1.74,0.2,0,1.74,3.85,0.95,0,48.78,2.25,11.58,23.33,17.1,2.18,46.84,1.4,2.35,59.4,1.53,0.41,33.93,174.75,91.74,4.29,1.26,0.41,1.26,1.36,37.91,30.66,80.9,2.96,0,0.92,0.41,0.14,0,0.03,0,8.01,0.41,1.26,24.5,1
