"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",0,"2b09d998","Tyler Adams","Leeds United","Premier League",180,69,"Midfielder","Right","United States",23.67,"Tyler Adams - 23.67 - Leeds United",0,0.04,0,0,0,0.35,0,0.01,0.01,0.06,0.06,0.17,0.04,25,0,0,26.3,0,0.04,-0.01,-0.01,52.39,60.91,86,870.69,217.05,25.94,28.88,89.8,20.79,23.65,87.9,4.58,6.27,73.1,0.73,4.32,0.56,0,4.37,58.23,2.68,2.07,0.04,8.39,0.52,0.13,0,0,0,0,47.29,5.1,8.52,9.12,46.69,3.29,0.56,0.04,0.13,0.82,1.3,2.03,1.47,1.38,0,0.09,0,0,0,0.13,0.13,0,0,0,0,0,2.64,1.47,0.95,1.38,0.3,1.12,2.29,49.1,1.17,21.66,7.26,33.5,6.01,12.62,3.03,2.38,0.35,0,1.34,3.98,1.17,0.04,71.5,2.16,15.65,47.85,12.75,0.56,69.03,0.65,1.04,62.5,0.65,0,45.48,210.82,105.48,4.67,1.43,0.17,0.95,0.78,51.18,47.55,92.9,1.12,0,1.86,1.12,0,0,0,0,11.97,1.25,1.04,54.7,2
"2",4,"3b8674e6","Rodrigo Bentancur","Tottenham","Premier League",185,73,"Midfielder","Right","Uruguay",25.32,"Rodrigo Bentancur - 25.32 - Tottenham",0.03,0.15,0.03,0,0,0.26,0,0.04,0.04,0.08,0.12,0.7,0.13,18.5,0.04,0.2,19.9,0,0.06,-0.02,-0.02,55.18,62.37,88.5,1035.48,231.04,22.02,23.79,92.5,25.47,27.89,91.3,6.67,8.42,79.2,0.75,5.07,0.52,0.1,4.89,61.18,1.18,1,0.08,8.47,1.26,0.59,0,0,0,0,52.56,4.3,5.51,11.38,47.64,2.09,0.1,0.03,0.03,0.39,1.39,1.13,2.32,2.09,0,0,0.08,0.03,0.13,0.33,0.26,0,0,0.03,0,0.05,2.5,1.31,1,1.06,0.44,0.62,1.8,34.3,1.18,21.19,5.74,27.1,6.85,10.87,3.48,1.83,0.7,0,1.83,4.33,1.52,0,72.95,3.5,17.67,46.2,13.75,1.11,71.87,0.7,1.11,62.8,0.75,0.05,51.63,233.82,110.45,4.17,1.26,0.18,0.72,1.18,55.98,53.25,95.1,2.06,0,1.93,0.85,0,0,0,0,9.32,1.62,0.82,66.3,2
"3",5,"6c203af0","Yves Bissouma","Tottenham","Premier League",181,72,"Midfielder","Right","Mali",26.14,"Yves Bissouma - 26.14 - Tottenham",0.04,0.04,0.04,0,0,0.53,0,0.04,0.04,0.03,0.07,0.88,0.22,25,0.05,0.2,24,0,0.04,0.01,0.01,47.65,52.52,90.7,877.47,166.59,20.95,22.49,93.2,20.25,21.66,93.5,5.96,7.15,83.4,0.44,3.33,0.39,0,2.32,51.73,0.79,0.75,0,6.44,1.1,0.18,0,0,0,0,44.72,3.9,3.9,5.79,44.15,1.53,0,0.48,0.09,0.35,1.53,1.62,1.1,0.75,0,0.09,0.09,0,0.18,0.09,0.04,0,0,0,0,0.04,2.76,1.84,1.18,1.53,0.04,0.66,1.58,41.7,0.92,17.1,5.66,33.1,7.15,8.2,1.75,2.06,0.44,0,2.37,5.13,2.24,0,65.1,4.38,18.37,40.11,11.57,0.53,64.44,1.01,1.53,65.7,1.01,0.04,44.19,240.98,111.96,4.03,1.53,0.09,1.05,1.32,45.55,43.62,95.8,0.53,0,1.53,1.1,0,0,0.04,0,10.7,0.88,0.61,58.8,2
"4",7,"4d224fe8","Casemiro","Manchester Utd","Premier League",184,79,"Midfielder","Right","Brazil",30.65,"Casemiro - 30.65 - Manchester Utd",0.03,0.08,0.03,0,0,0.35,0,0.08,0.08,0.09,0.17,1.35,0.3,22,0.02,0.09,22.6,0.03,0.06,-0.05,-0.05,57.08,66.29,86.1,1132.89,316.45,22.9,25.68,89.2,23.09,26.35,87.6,9.8,12.11,80.9,0.89,5.73,0.62,0.03,4.87,64.62,1.67,1.48,0.11,10.15,2.66,0.3,0,0,0,0,47.56,7.16,11.57,7.29,52.75,3.15,0.11,0.46,0.16,0.59,1.48,1.8,2.31,2.07,0,0,0.05,0.13,0.05,0.38,0.24,0,0,0.03,0.05,0.05,3.31,2.18,1.99,1.16,0.16,1.08,2.83,38.1,1.75,15.93,6.08,38.2,8.02,6.46,1.45,2.5,0.7,0,2.1,5.41,3.01,0.08,80.58,5.97,25.78,44.97,13.16,1.43,79.05,0.57,0.92,61.8,0.62,0.13,46.96,178.74,97.37,2.85,0.81,0.05,0.89,0.89,57.57,54.74,95.1,1.37,0,2.31,1.67,0.08,0.03,0,0,11.73,3.96,1.83,68.4,2
"5",16,"ce4f40c7","Cheick Doucouré","Crystal Palace","Premier League",180,73,"Midfielder","Right","Mali",22.77,"Cheick Doucouré - 22.77 - Crystal Palace",0.03,0.15,0.03,0,0,0.29,0,0.04,0.04,0.1,0.14,0.97,0.29,30.3,0.03,0.1,23.5,0,0.04,-0.01,-0.01,50.27,57.35,87.7,947.57,237.76,20.79,23.08,90.1,22.61,24.96,90.6,6.2,7.78,79.6,1.15,5.49,0.68,0,6.11,56.47,0.88,0.82,0.26,8.96,1.38,0.09,0,0,0,0,46.48,5.23,5.64,3,51.5,1.94,0,0.26,0.09,0.5,1.94,0.82,2.44,2.11,0,0.03,0.09,0.06,0.15,0.23,0.18,0,0,0.06,0,0,2.85,2.2,1.5,1.03,0.32,0.79,2.11,37.5,1.32,14.51,5.17,35.6,5.87,7.28,1.35,1.15,0.32,0.03,2.41,5.26,0.94,0,67.16,2.44,15.77,45.37,10.81,0.53,66.48,0.68,1.09,62.2,0.76,0,43.84,244.66,132.93,6.2,1.73,0.09,0.73,0.73,49.83,47.72,95.8,1.62,0,1.38,0.85,0,0,0,0,9.69,0.7,0.7,50,2
"6",18,"47a34c4f","Mohamed Elneny","Arsenal","Premier League",180,77,"Midfielder","Right","Egypt",30.27,"Mohamed Elneny - 30.27 - Arsenal",0,0.21,0,0,0,0.11,0,0.02,0.02,0.06,0.07,0.85,0.21,25,0,0,25.7,0,0.02,-0.02,-0.02,59.33,63.24,93.8,1060.22,220.93,25.91,27.39,94.6,26.44,27.07,97.7,6.03,6.77,89.1,0.95,5.61,0.32,0,2.75,61.55,1.69,1.59,0.11,6.56,0.53,0,0,0,0,0,52.98,4.76,5.5,3.07,57.11,2.22,0,0,0,0.11,1.27,0.85,1.37,1.37,0,0,0,0,0,0.21,0.21,0,0,0,0,0,1.8,1.06,1.06,0.63,0.11,0.32,0.74,42.9,0.42,11.1,4.12,37.1,4.44,5.61,1.06,0.95,0.11,0,1.9,3.7,1.27,0,70.75,4.12,18.08,44.84,12.37,0.42,69.17,0,0,NA,0,0,48.75,207.07,87.88,2.75,0.32,0.11,0.53,0.21,54.36,52.35,96.3,0.42,0,0.63,0.74,0,0,0,0,10.36,1.16,1.16,50,2
"7",21,"7f3b388c","Fabinho","Liverpool","Premier League",188,78,"Midfielder","Right","Brazil",28.99,"Fabinho - 28.99 - Liverpool",0.13,0,0.08,0.05,0.05,0.21,0,0.08,0.04,0.06,0.1,0.55,0.21,38.1,0.14,0.38,18.1,0.03,0.08,0.05,0.04,55.21,62.37,88.5,1004.57,224.41,22.76,24.78,91.8,26.31,28.87,91.1,5.37,7.01,76.7,0.61,5.61,0.63,0.03,4.45,60.82,1.55,1.42,0.08,8.88,0.84,0.18,0,0,0,0,48.04,5.72,8.61,4.79,53.02,3,0.11,0.21,0.13,0.74,0.87,1.55,1.98,1.66,0,0,0.08,0.16,0.08,0.13,0.11,0,0,0.03,0,0,2.48,1.58,0.61,1.45,0.42,0.79,2.32,34.1,1.53,15.72,5.64,35.8,4.53,8.98,2.21,1.84,0.29,0,2.08,4.56,1.16,0,72.51,2.11,14.86,47.99,12.93,0.68,71.04,0.24,0.4,60,0.29,0,45.78,178.31,86.58,4.27,1.13,0.03,0.74,0.66,52.05,49.81,95.7,1.37,0,1.82,1.48,0,0,0,0,12.3,1.69,1.37,55.2,2
"8",23,"b853e0ad","Fred","Manchester Utd","Premier League",169,63,"Midfielder","Left","Brazil",29.62,"Fred - 29.62 - Manchester Utd",0.15,0.15,0.15,0,0,0.23,0,0.13,0.13,0.1,0.23,1.32,0.53,40,0.11,0.29,19.1,0,0.1,0.02,0.02,48.59,57.18,85,893.11,219.94,22.1,25.07,88.1,19.08,21.3,89.6,6.7,8.32,80.5,1.36,4.89,0.68,0.08,4.37,55.82,1.36,1.13,0.19,9.41,1.81,0.23,0,0,0,0,45.43,5.91,5.83,37.08,17.5,1.66,0.23,0.23,0.19,0.75,1.77,1.77,2.97,2.33,0.04,0.08,0.23,0.19,0.11,0.38,0.26,0,0,0.04,0.04,0.04,2.86,1.58,1.2,1.2,0.45,0.75,2.63,28.6,1.88,23.6,6.17,26.2,8.7,11.71,3.2,2.33,0.56,0,2.11,4.97,0.98,0,70.73,2.86,16.49,40.28,17.13,1.43,69.64,0.75,1.47,51.3,0.83,0.11,46.71,175.56,83.64,3.31,0.87,0.11,1.36,1.54,54.02,48.29,89.4,2.6,0,1.77,1.81,0,0.04,0,0,11.25,0.56,0.83,40.5,2
"9",26,"72c812f3","Idrissa Gana Gueye","Everton","Premier League",174,63,"Midfielder","Right","Senegal",33.07,"Idrissa Gana Gueye - 33.07 - Everton",0,0.05,0,0,0,0.34,0,0.06,0.06,0.05,0.11,0.83,0.19,23.5,0,0,22.7,0,0.07,-0.06,-0.06,60.6,66.15,91.6,1035.56,239.58,28.43,30.47,93.3,25.02,26.67,93.8,5.6,6.47,86.5,0.49,4.92,0.29,0.05,3.5,64.79,1.36,1.07,0.15,9.1,0.83,0.24,0.05,0,0,0,56.61,4.92,4.62,5.99,57.44,1.51,0.24,0.24,0.24,0.39,0.73,1.36,1.56,1.22,0.05,0.05,0.05,0.15,0.05,0.1,0.1,0,0,0,0,0,2.68,2,1.41,0.58,0.68,0.63,1.85,34.2,1.22,23.9,6.81,28.5,8.57,10.95,4.38,1.56,0.19,0,2.29,4.96,0.97,0,75.59,2.87,18.74,46.24,14.7,0.73,74.42,0.73,1.02,71.4,0.88,0.05,52.96,248.83,106.94,4.14,1.12,0.05,0.63,0.97,59.14,55.59,94,2.09,0,2.29,1.22,0.05,0,0,0,9.78,0.97,0.88,52.6,2
"10",27,"df10e27c","Billy Gilmour","Brighton","Premier League",170,59,"Midfielder","Right","Scotland",21.35,"Billy Gilmour - 21.35 - Brighton",0,0.06,0,0,0,0.12,0,0.05,0.05,0.1,0.16,1.01,0.18,17.6,0,0,22.4,0.12,0.05,-0.05,-0.05,46.61,59.19,78.8,998.88,263.32,16.63,18.72,88.9,18.95,21.64,87.6,10.07,16.69,60.4,1.31,4.41,0.83,0.06,4.77,52.27,6.91,2.09,0.06,6.74,4.77,1.01,3.34,1.31,1.97,0,40.41,4.41,14.36,3.81,52.09,2.38,0.48,0,0.12,0.77,2.56,0.89,2.5,1.07,1.19,0.06,0.12,0,0.06,0.06,0,0.06,0,0,0,0,2.15,0.77,0.66,1.19,0.3,0.66,1.91,34.4,1.25,24.79,4.71,19,9.36,12.4,3.04,1.19,0.3,0,1.55,3.7,1.25,0,69.14,2.03,17.17,38.44,18.06,0.54,62.34,0.72,1.25,57.1,1.01,0.12,39.28,221.84,95.72,4.05,1.61,0,0.89,0.48,50.3,45.89,91.2,1.13,0,2.32,1.07,0.06,0,0.06,0,9.12,0.48,1.61,22.9,2
