"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",11,"e5478b87","Taiwo Awoniyi","Nott'ham Forest","Premier League",178,73,"Forward","Right","Nigeria",25.19,"Taiwo Awoniyi - 25.19 - Nott'ham Forest",0.5,0.05,0.41,0.09,0.09,0.05,0,0.57,0.5,0.08,0.57,2.64,1.05,39.7,0.16,0.39,12.4,0,0.19,-0.07,-0.09,14.88,21.07,70.6,228.5,54.05,8.14,10.51,77.5,4.96,6.83,72.7,1.05,1.77,59,1,1.23,0.73,0.09,1.91,20.48,0.59,0,0.23,6.32,0.14,0.27,0,0,0,0,13.33,4.96,2.78,4.19,12.24,1.87,0.09,1.18,0.09,0.55,1.14,0.55,2.28,1.59,0,0.18,0.27,0.18,0.05,0.18,0.05,0,0.05,0,0.05,0.05,0.68,0.36,0.14,0.41,0.14,0.09,0.59,15.4,0.5,14.61,4.96,34,1.59,6.69,6.32,0.68,0.14,0,0.23,0.91,0.96,0,36.04,1.18,2.78,18.15,17.65,5.6,35.4,1.09,2,54.5,1.27,0.05,23.39,96.01,49.6,2.55,1,0.46,5.05,2.28,47.91,26.48,55.3,7.28,0,1.41,1.18,1.05,0.05,0,0.05,4.87,2.28,6.14,27,2
"2",27,"0562b7f1","Odsonne Édouard","Crystal Palace","Premier League",187,83,"Forward","Right","France",24.75,"Odsonne Édouard - 24.75 - Crystal Palace",0.24,0.24,0.19,0.05,0.05,0.29,0,0.33,0.29,0.14,0.43,2,0.9,45.2,0.1,0.21,11.9,0,0.15,-0.09,-0.1,17.98,24.5,73.4,247.6,50.42,11.8,14.79,79.7,4.95,6.61,74.8,0.81,1.19,68,1.05,0.95,0.71,0.05,1.9,23.59,0.9,0,0.05,7.37,0.14,0.48,0,0,0,0,16.98,4.52,3,2.38,18.17,1.43,0.1,0.57,0.14,0.19,1.24,0.86,2.33,1.66,0,0.14,0.33,0.05,0.14,0.33,0.29,0,0,0.05,0,0,1.14,0.86,0.19,0.62,0.33,0.19,0.9,21.1,0.71,20.31,5.95,29.3,2.52,9.04,8.75,1.19,0.33,0,0.29,1.43,1,0,37.96,1.14,4.14,19.27,17.03,4.66,37.01,1.14,2.76,41.4,1.33,0.29,23.59,110.88,68.4,3.9,1.09,0.57,2.66,2.52,46.86,27.21,58.1,5.9,0,1.9,0.81,0.29,0,0,0,5.09,2.57,3.71,40.9,2
"3",35,"01962d0d","Joe Gelhardt","Leeds United","Premier League",172,66,"Forward","","England",20.45,"Joe Gelhardt - 20.45 - Leeds United",0.21,0.21,0.21,0,0,0.42,0,0.42,0.42,0.16,0.57,3.01,1.14,37.9,0.07,0.18,18.2,0,0.14,-0.21,-0.21,13.6,19.52,69.7,176.89,45.36,7.47,10.17,73.5,4.26,5.92,71.9,0.52,1.14,45.5,0.93,0.73,1.14,0.1,1.87,17.23,2.28,0,0.1,5.19,0,0.52,0,0,0,0,12.46,4.36,2.7,14.01,3.01,1.04,0,0.83,0.1,0.52,1.14,1.04,2.49,1.66,0,0.31,0.1,0.42,0,0.73,0.31,0,0.21,0,0.21,0,1.25,0.62,0.42,0.21,0.62,0.31,1.35,23.1,1.04,23.88,7.79,32.6,2.39,10.28,11.21,1.04,0,0,0.52,1.76,0.73,0,36.54,0.83,3.22,17.75,17.75,5.5,34.26,1.56,3.11,50,1.87,0,24.81,105.67,68.2,4.26,0.93,0.83,3.32,2.8,44.53,24.91,55.9,8.41,0,2.49,3.22,0.52,0.21,0,0,5.09,1.04,4.15,20,2
"4",46,"c92e1a31","Kelechi Iheanacho","Leicester City","Premier League",185,77,"Forward","Left","Nigeria",26.05,"Kelechi Iheanacho - 26.05 - Leicester City",0.26,0.39,0.26,0,0,0.07,0,0.28,0.28,0.22,0.5,2.28,0.78,34.3,0.11,0.33,17,0,0.12,-0.02,-0.02,21.7,26.85,80.8,310.93,51.48,12.77,14.86,86,6.84,7.95,86.1,1.17,2.15,54.5,1.43,0.98,0.78,0.13,1.76,25.42,1.43,0,0.2,6.19,0.59,0.72,0.26,0.13,0,0,21.12,3.39,2.35,24.11,1.04,0.39,0.46,0.13,0.07,0.72,1.3,0.78,2.54,2.22,0.07,0.07,0.13,0.07,0,0.46,0.39,0,0,0.07,0,0,0.78,0.46,0.07,0.46,0.26,0.13,0.72,18.2,0.59,14.53,4.5,30.9,1.04,6.19,7.3,0.98,0.2,0,0.13,0.91,0.72,0,40.21,0.65,2.93,17.79,21.9,4.63,38.78,0.91,2.15,42.4,1.11,0.13,29.72,127.41,60.87,3.39,0.98,1.11,3.39,2.48,52.07,31.48,60.5,8.6,0,1.56,0.52,0.59,0,0,0,3.45,0.91,2.28,28.6,2
"5",51,"b561db50","Raúl Jiménez","Wolves","Premier League",188,79,"Forward","Right","Mexico",31.45,"Raúl Jiménez - 31.45 - Wolves",0.2,0.08,0.16,0.04,0.04,0.29,0.08,0.23,0.2,0.07,0.28,1.91,0.61,31.9,0.09,0.27,16.3,0.04,0.11,-0.02,-0.04,17.76,24.68,71.9,283.19,59.33,10.26,13.28,77.3,5.01,6.56,76.4,1.71,2.73,62.7,0.77,1.22,0.61,0.2,1.63,22.93,1.75,0,0,7.7,0.53,0.73,0,0,0,0,15.07,5.25,4.36,1.34,19.18,1.18,0.24,0.94,0.12,0.61,1.18,1.14,1.91,1.34,0.04,0.04,0.2,0.16,0.12,0.37,0.2,0,0,0.12,0,0.04,1.14,0.81,0.16,0.65,0.33,0.12,0.69,17.6,0.57,15.23,3.71,24.3,1.43,8.31,5.5,1.51,0.37,0.04,0.65,1.79,0.94,0,39.34,1.26,3.87,22.07,15.88,4.48,37.55,0.98,2.73,35.8,1.22,0.08,24.76,105.11,54.9,3.14,0.86,0.61,3.1,2.2,45.12,28.55,63.3,6.27,0.08,1.75,1.91,0.77,0,0,0,3.87,2.77,2.97,48.2,2
"6",54,"15f24fe7","Sasa Kalajdzic","Wolves","Premier League",200,79,"Forward","Right","Austria",25.28,"Sasa Kalajdzic - 25.28 - Wolves",0.36,0.24,0.3,0.06,0.12,0.18,0,0.42,0.33,0.26,0.58,2.55,0.85,33.3,0.12,0.36,12,0,0.13,-0.05,-0.02,18.66,27.16,68.7,293.34,61.68,10.45,13.55,77.1,5.96,8.99,66.2,1.58,2.73,57.8,1.58,1.15,0.43,0.06,2.25,24.73,2.43,0,0.12,9.97,0.49,0.36,0,0,0,0,14.4,6.68,6.08,2.8,16.95,2.61,0.18,0.91,0,0.43,1.22,0.61,2.55,2.07,0,0,0.24,0.24,0,0.36,0.24,0,0,0.12,0,0,0.55,0.3,0,0.36,0.18,0.06,0.3,20,0.24,16.95,4.86,28.7,0.79,6.99,9.18,0.73,0.12,0,0.43,0.97,0.61,0,38.71,0.67,1.94,21.76,16.29,5.89,36.16,0.36,0.85,42.9,0.36,0.06,19.14,69.64,25.4,1.4,0.49,0.49,3.65,1.03,45.88,28.87,62.9,7.11,0,1.15,1.4,0.12,0,0,0,3.89,5.65,4.38,56.4,2
"7",55,"21a66f6a","Harry Kane","Tottenham","Premier League",188,73,"Forward","Right","England",29.22,"Harry Kane - 29.22 - Tottenham",0.58,0.22,0.43,0.16,0.2,0.16,0,0.65,0.49,0.22,0.71,3.73,1.39,37.3,0.11,0.31,16.7,0.13,0.13,-0.07,-0.07,18.39,26.81,68.6,381.87,127.72,7.7,10.17,75.7,6.71,9.09,73.8,3.62,5.55,65.2,1.44,2.81,1.3,0.29,3.71,25.08,1.73,0.31,0.58,6.78,1.17,1.19,0,0,0,0,15.47,5.28,6.06,2.83,20.68,1.15,0.38,0.16,0.38,0.45,1.73,0.38,3.53,2.56,0.07,0.34,0.27,0.2,0.09,0.58,0.43,0,0.04,0.07,0.04,0,0.47,0.31,0.11,0.25,0.11,0.16,0.56,28,0.4,9.27,2.81,30.3,0.76,3.75,4.76,0.61,0.22,0.02,0.22,0.7,0.83,0,40.13,1.12,3.82,20.5,18.55,5.32,38.22,1.66,2.83,58.7,1.8,0.29,27.62,145.64,69.59,4.13,1.24,0.67,2.43,2.13,47.36,31.15,65.8,8.8,0,1.17,1.82,0.38,0.04,0,0,4.29,2.49,2.78,47.2,2
"8",69,"3925dbd6","Aleksandar Mitrović","Fulham","Premier League",189,83,"Forward","Right","Serbia",28.09,"Aleksandar Mitrović - 28.09 - Fulham",0.84,0,0.6,0.24,0.36,0.36,0,0.73,0.44,0.04,0.48,3.94,1.79,45.5,0.15,0.33,14.5,0,0.11,0.11,0.16,11.22,19.58,57.3,198.38,42.37,5.49,9.07,60.5,3.7,6.57,56.4,1.67,2.15,77.8,0.48,1.31,0.24,0,1.19,18.74,0.84,0,0.12,7.88,0.36,0.24,0,0,0,0,9.31,5.01,5.25,2.15,11.34,1.19,0,0.48,0,0.72,1.55,0.95,3.1,1.19,0,0.6,0.6,0.48,0.24,0.95,0.12,0,0.12,0.24,0.36,0.12,1.19,1.19,0.24,0.72,0.24,0.24,0.6,40,0.36,12.06,2.86,23.8,1.43,5.13,5.49,1.31,0.36,0,0.6,1.79,0.95,0,35.93,1.31,3.94,17.43,16.71,6.45,34.85,1.43,2.39,60,1.91,0.24,20.89,84.99,42.02,2.51,0.48,0.48,3.82,2.63,50.61,26.38,52.1,5.13,0,0.72,1.79,0.72,0.24,0,0,3.82,6.21,7.16,46.4,2
"9",70,"01ce9e70","Kieffer Moore","Bournemouth","Premier League",196,83,"Forward","","Wales",30.2,"Kieffer Moore - 30.2 - Bournemouth",0.2,0,0.2,0,0,0,0,0.06,0.06,0.04,0.1,0.98,0.59,60,0.2,0.33,12.8,0,0.06,0.14,0.14,16.15,26.39,61.2,220.96,27.57,10.44,14.97,69.7,3.54,6.3,56.3,1.18,2.36,50,0.39,0.59,0.59,0,1.18,23.24,3.15,0,0,9.26,0.39,0.98,0,0,0,0,12.41,6.7,7.29,1.77,14.77,3.35,0,1.38,0,0.79,0.98,0.79,0.98,0.39,0,0.2,0,0.39,0,0,0,0,0,0,0,0,0.98,0.59,0.2,0.59,0.2,0.2,1.18,16.7,0.98,23.83,6.3,26.4,3.35,13.39,7.09,1.18,0.39,0,0.2,1.18,0.39,0,38.6,0.79,2.17,25.01,12.8,2.56,35.45,0.39,0.59,66.7,0.39,0,16.74,77.4,34.07,1.38,0.79,0,4.14,1.97,44.11,27.18,61.6,3.15,0,2.36,2.95,0,0,0,0,4.33,6.3,5.12,55.2,2
"10",75,"a53649b7","Eddie Nketiah","Arsenal","Premier League",175,66,"Forward","Right","England",23.38,"Eddie Nketiah - 23.38 - Arsenal",0.53,0.15,0.53,0,0,0.23,0,0.49,0.49,0.14,0.63,3.23,1.35,41.9,0.16,0.39,13.9,0,0.15,0.04,0.04,20.19,24.77,81.5,318.94,40.98,10.88,12.84,84.8,7.58,8.78,86.3,1.2,1.65,72.7,1.05,0.6,0.53,0.08,1.13,23.72,1.05,0,0,4.73,0.3,1.05,0,0,0,0,20.12,2.48,2.18,3.23,19.67,0.98,0,0.08,0,0.23,1.05,0.6,2.33,1.58,0,0.23,0.23,0.15,0.15,0.38,0.15,0,0,0.08,0,0.15,1.05,0.6,0.08,0.6,0.38,0.08,0.45,16.7,0.38,19.52,5.25,26.9,0.83,6.83,11.86,0.75,0.15,0,0.6,1.65,0.75,0,40.23,0.83,3.83,18.17,21.54,7.96,39.18,1.35,3.15,42.9,1.58,0.08,28,176.77,94.58,4.43,2.1,1.28,3.83,1.5,46.46,30.48,65.6,8.03,0,2.4,1.73,0.45,0,0.08,0,4.5,1.43,4.65,23.5,2
