"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",31,"4c370d81","Roberto Firmino","Liverpool","Premier League",181,76,"Forward","Right","Brazil",31.05,"Roberto Firmino - 31.05 - Liverpool",0.61,0.35,0.61,0,0,0.15,0,0.41,0.41,0.18,0.59,3.09,1.32,42.6,0.2,0.46,13.9,0,0.14,0.19,0.19,36.73,45.68,80.4,520.83,137.25,21.3,24.54,86.8,11.94,14.77,80.8,1.42,2.02,70,1.52,2.88,1.42,0.05,4.1,44.52,1.16,0.05,0.15,9.56,0.25,0.81,0,0,0,0,35.31,5.92,4.45,5.72,36.27,1.62,0.35,0.35,0.05,0.3,2.48,1.47,3.39,2.73,0,0.2,0.4,0,0.05,0.66,0.4,0,0.05,0.15,0,0.05,2.83,1.87,0.3,1.57,0.96,0.3,1.47,20.7,1.16,22.82,7.94,34.8,3.19,10.17,9.46,1.57,0.1,0,0.61,3.44,0.46,0,61.01,0.51,5.16,30.91,28.23,7.18,59.85,1.32,2.23,59.1,1.42,0.05,40.73,167.86,81.75,5.41,2.02,0.3,2.93,2.33,61.97,46.69,75.3,11.43,0,0.76,0.76,0.35,0,0,0,6.22,1.97,2.53,43.8,3
"2",40,"e6bc67d7","Gonçalo Guedes","Wolves","Premier League",178,68,"Forward","Right","Portugal",25.89,"Gonçalo Guedes - 25.89 - Wolves",0.34,0.19,0.3,0.04,0.07,0.15,0,0.2,0.14,0.13,0.27,2.17,0.75,34.5,0.14,0.4,20.5,0.07,0.07,0.13,0.16,19.12,28.83,66.3,342.86,112.93,9.78,12.73,76.8,6.54,8.93,73.2,2.54,5.27,48.2,1.46,1.31,1.87,0.63,3.06,26.18,2.65,0.37,0.04,5.38,1.61,2.35,1.12,0.34,0.45,0.15,18.45,4.15,6.24,2.35,23.6,1.31,0.71,0.3,0.07,0.75,1.68,0.86,3.06,1.79,0.3,0.3,0.19,0.49,0,0.41,0.19,0.04,0.07,0.04,0.07,0,0.9,0.56,0.26,0.37,0.26,0.07,0.6,12.5,0.52,11.61,3.62,31.2,1.83,4.37,5.41,0.86,0,0,0.67,1.57,0.11,0,41.23,0.34,3.59,16.95,24.95,3.51,38.58,1.53,2.95,51.9,1.57,0.11,30.73,193.89,116.81,5.83,2.46,0.41,2.28,2.13,42.57,29.73,69.8,6.61,0,1.49,2.84,0.26,0.04,0,0,5.38,0.75,1.53,32.8,3
"3",43,"fed7cb61","Kai Havertz","Chelsea","Premier League",186,77,"Forward","Left","Germany",23.35,"Kai Havertz - 23.35 - Chelsea",0.37,0.09,0.37,0,0,0.21,0,0.42,0.42,0.09,0.52,2.79,1.26,45.1,0.13,0.29,12.2,0,0.15,-0.06,-0.06,26.3,32.2,81.7,356.3,67.1,16.5,18.89,87.4,7.01,8.82,79.5,1.16,1.5,77.6,0.95,1.16,0.98,0.12,2.3,30.67,1.53,0.06,0.06,8.33,0.31,0.95,0,0,0,0,24.89,4.5,2.82,21.77,7.35,0.92,0.28,0.34,0.18,0.31,1.32,1.5,2.54,1.74,0.03,0.15,0.34,0.21,0.06,0.34,0.18,0,0.03,0.09,0.03,0,1.16,0.8,0.18,0.61,0.37,0.18,1.04,17.6,0.86,19.1,4.93,25.8,1.68,7.13,10.29,1.59,0.09,0,0.28,1.44,1.19,0,46.99,1.35,3.83,17.97,27.58,7.56,45.49,1.19,2.08,57.4,1.29,0.15,31.38,159.89,80.05,4.99,1.04,1.53,3.09,2.39,54.24,36.49,67.3,10.68,0,2.11,1.38,0.8,0.03,0,0,4.1,2.33,3.09,42.9,3
"4",50,"b66315ae","Gabriel Jesus","Arsenal","Premier League",177,72,"Forward","Right","Brazil",25.54,"Gabriel Jesus - 25.54 - Arsenal",0.48,0.31,0.45,0.03,0.03,0.28,0,0.52,0.49,0.22,0.71,3.17,1.38,43.5,0.14,0.33,12.2,0,0.16,-0.03,-0.04,26.79,31.78,84.3,392.61,72.44,16.22,18.18,89.2,7.82,9.3,84.1,1.55,2,77.6,1.41,1.17,1,0.17,1.96,30.37,1.41,0.03,0.03,5.61,0.45,0.83,0,0,0,0,25.93,2.86,3,3.72,25.72,0.48,0.24,0.93,0.07,0.38,1.14,1.07,3.62,2.03,0,0.72,0.28,0.45,0.14,0.59,0.31,0,0.07,0.03,0.1,0.07,1.14,0.69,0.34,0.24,0.55,0.24,1.03,23.3,0.79,15.29,4.17,27.3,1.86,5.78,7.64,1.17,0.1,0,0.83,1.96,0.34,0,47.27,0.72,3.48,17.32,29.13,8.57,45.9,2.51,3.82,65.8,2.72,0.21,37.01,167.5,90.45,5.85,1.27,1.24,3.24,2.89,52.54,36.22,68.9,8.5,0,1.72,2.07,0.62,0.1,0,0,5.16,1.03,2.82,26.8,3
"5",53,"178ae8f8","Diogo Jota","Liverpool","Premier League",178,69,"Forward","Right","Portugal",25.88,"Diogo Jota - 25.88 - Liverpool",0.44,0.34,0.44,0,0,0.17,0,0.57,0.57,0.2,0.77,3.11,1.13,36.3,0.14,0.39,12,0,0.18,-0.12,-0.12,22.77,31.22,72.9,360.03,82.07,11.59,14.57,79.6,8.72,10.91,79.9,1.54,2.84,54.2,1.5,1.88,1.16,0.07,2.87,30.95,0.27,0,0.17,6.74,0.38,0.62,0,0,0,0,22.84,4.86,3.52,8.31,20.31,1.3,0,0.41,0.21,0.51,1.5,0.72,3.18,2.19,0,0.34,0.17,0.34,0.14,0.65,0.41,0,0.14,0.03,0.07,0,1.5,0.96,0.65,0.58,0.27,0.41,1.71,24,1.3,23.66,6.67,28.2,3.35,9.85,10.46,0.82,0.1,0,0.96,2.46,0.21,0,45.62,0.55,4.17,21,23.97,7.25,45.34,1.37,3.32,41.2,1.68,0.34,32.45,157.26,95.06,5.13,1.61,0.99,2.39,2.02,52.83,34.16,64.7,9.4,0,1.54,1.71,0.38,0.07,0,0,6.33,1.47,3.42,30.1,3
"6",131,"b0c71810","Sofiane Boufal","Angers","Ligue 1",180,74,"Forward","Right","Morocco",29.09,"Sofiane Boufal - 29.09 - Angers",0.35,0.23,0.16,0.19,0.19,0.31,0.04,0.34,0.19,0.26,0.46,2.52,1.01,40,0.06,0.15,22.9,0.47,0.08,0.01,-0.03,31.78,41.9,75.9,534.92,150.5,16.67,19.85,84,10.47,12.95,80.8,3.57,6.63,53.8,2.4,2.44,1.24,0.08,3.91,36.9,5,1.43,0.19,6.55,2.25,2.25,2.6,0.89,0.62,0.23,31.12,4.03,6.74,7.98,31.71,0.54,0.5,0.89,0.16,0.81,1.98,0.85,5.12,2.75,0.85,0.81,0.16,0.47,0.08,0.66,0.27,0.12,0.08,0.08,0.12,0,1.59,1.2,0.66,0.66,0.27,0.54,1.43,37.8,0.89,16.55,4.07,24.6,2.95,7.6,6.01,0.89,0.04,0,0.43,2.02,0.19,0,60.08,0.31,4.5,31.51,29.3,5.08,55.43,3.88,7.6,51,4.57,0.5,47.48,242.21,146.36,8.37,2.44,1.4,3.37,3.37,56.09,46.16,82.3,7.21,0.04,2.25,2.79,0.5,0.08,0,0,5.04,0.35,1.82,16.1,3
"7",168,"aad56ca3","Amine Gouiri","Nice","Ligue 1",180,72,"Forward","Right","France",22.67,"Amine Gouiri - 22.67 - Nice",0.28,0.25,0.25,0.03,0.03,0.13,0,0.31,0.29,0.18,0.47,2.29,0.94,41.1,0.11,0.27,15.4,0.03,0.13,-0.03,-0.04,26.23,33.27,78.8,420.13,83.62,14.32,16.87,84.9,8.36,9.99,83.6,2.54,4.02,63.3,1.48,1.6,1.41,0.19,2.29,30.82,2.45,0.44,0.16,6.6,1.16,0.97,0.97,0.66,0.16,0.03,25.66,3.39,4.21,1.63,30.03,0.66,0.19,0.22,0.09,0.47,1.41,0.66,3.49,2.23,0.31,0.35,0.35,0.13,0.13,0.38,0.31,0,0,0,0.03,0.03,0.91,0.57,0.19,0.41,0.31,0.25,0.63,40,0.38,14.39,4.08,28.4,1.48,5.78,7.13,0.85,0.19,0.03,0.44,1.35,0.41,0,45.17,0.75,3.52,21.33,24.03,5.21,42.79,1.66,3.02,55.2,1.85,0.03,33.99,173.4,97.51,5.62,2.2,1.04,2.07,2.45,44.89,34.49,76.8,7.51,0,1.23,1.04,0.38,0.03,0,0,4.87,0.69,1.57,30.6,3
"8",171,"0b4d8274","Romain Hamouma","Ajaccio","Ligue 1",177,67,"Forward","Right","",35.55,"Romain Hamouma - 35.55 - Ajaccio",0.33,0.11,0.33,0,0,0.55,0.22,0.24,0.24,0.09,0.33,1.97,0.77,38.9,0.17,0.43,17.4,0,0.12,0.09,0.09,23.24,32.67,71.1,359.56,92.63,12.61,15.24,82.7,6.91,9.32,74.1,2.08,4.28,48.7,1.32,1.53,0.11,0,2.52,29.05,3.62,0.66,0.22,6.58,0.55,1.97,1.21,0.11,1.1,0,22.14,5.37,5.15,4.38,26.09,0.77,0.55,0.55,0,1.32,0.88,0.66,3.51,2.08,0.66,0.33,0.11,0.22,0.11,0.44,0.22,0.11,0,0,0.11,0,1.32,1.1,0,0.88,0.44,0.22,1.43,15.4,1.21,22.91,6.47,28.2,2.41,9.87,10.63,0.66,0,0,0.55,1.86,0.33,0,44.62,0.55,1.97,19.62,25.54,4.71,41,2.08,3.4,61.3,2.3,0.22,32.56,157.53,95.81,5.37,1.75,0.66,2.41,1.86,48.01,32.56,67.8,8.11,0.22,1.86,1.32,0.66,0,0,0,4.38,0.66,1.97,25,3
"9",194,"42fd9c7f","Kylian Mbappé","Paris S-G","Ligue 1",178,73,"Forward","Right","France",23.84,"Kylian Mbappé - 23.84 - Paris S-G",0.96,0.38,0.86,0.1,0.12,0.26,0,0.73,0.63,0.34,0.98,4.49,2.16,48.1,0.19,0.4,15.5,0.02,0.14,0.23,0.23,33.4,41.18,81.1,480.99,94.4,20.76,23.91,86.8,9.11,11.29,80.6,2.16,3.08,70.3,1.87,1.78,1.83,0.41,2.43,38.54,2.64,0.14,0.19,6.1,0.67,2.02,0.82,0.02,0.05,0.05,34.93,3.2,3.05,5.93,34.31,0.17,0.46,0.19,0.24,0.58,2.28,0.26,4.78,3.03,0.19,0.67,0.43,0.38,0.07,1.11,0.65,0.05,0.26,0.05,0.1,0,0.26,0.19,0,0.07,0.19,0.07,0.36,20,0.29,8,2.09,26.1,0.24,2.28,5.48,0.29,0.02,0,0.48,0.74,0.24,0,56.72,0.46,2.07,21.79,37.94,10.88,54.06,2.91,6.13,47.5,3.2,0.41,44.66,242.01,163.95,9.37,2.96,2.86,2.52,2.28,62.83,48.36,77,13.09,0,0.67,1.68,1.32,0.12,0,0,3.53,0.29,0.31,48,3
"10",219,"2c0f8e9e","Alexis Sánchez","Marseille","Ligue 1",168,62,"Forward","Right","Chile",33.84,"Alexis Sánchez - 33.84 - Marseille",0.6,0.15,0.6,0,0.05,0.1,0.05,0.53,0.49,0.17,0.67,2.97,1.26,42.4,0.2,0.48,14.7,0.1,0.17,0.07,0.11,30.55,39.21,77.9,535.37,131.68,16.01,18.52,86.4,9.41,11.78,79.9,4.18,6.64,62.9,1.91,2.92,1.86,0.25,4.18,36.39,2.82,0.55,0.1,7.45,1.76,1.16,1.16,0.5,0.25,0.05,25.62,5.54,8.05,2.06,35.23,0.86,0,0.25,0.15,0.6,2.16,0.6,3.88,2.67,0.3,0.35,0.3,0.15,0.1,0.4,0.2,0.05,0.05,0.05,0.05,0,1.11,0.86,0.15,0.76,0.2,0.2,0.6,33.3,0.4,18.22,6.59,36.2,1.36,6.59,10.27,0.6,0,0,0.45,1.56,0.05,0,52.15,0.35,3.27,24.46,27.58,5.84,49.28,1.86,2.47,75.5,2.06,0,40.37,171.8,66.54,4.63,1.46,1.01,2.21,2.97,55.27,40.47,73.2,9.46,0.05,1.26,2.42,1.36,0,0,0,5.89,1.01,2.92,25.6,3
