"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",0,"5bc43860","Brenden Aaronson","Leeds United","Premier League",178,68,"Att Mid / Wing","Right","United States",21.99,"Brenden Aaronson - 21.99 - Leeds United",0.07,0.21,0.07,0,0,0.14,0,0.15,0.15,0.13,0.27,1.34,0.42,31.6,0.05,0.17,20,0.07,0.11,-0.08,-0.08,23.87,31.83,75,341.41,96.55,14.37,17.11,84,6.34,8.03,78.9,1.9,3.8,50,1.76,1.34,0.49,0.14,2.18,28.03,3.8,0.35,0.07,6.55,0.63,1.13,1.27,0.49,0.77,0,23.1,4.3,4.44,3.31,26.06,0.85,0.63,0.28,0,0.63,1.62,1.27,2.82,1.76,0.42,0.21,0.14,0.14,0.14,0.42,0.28,0,0,0.07,0,0.07,1.48,1.2,0.35,0.7,0.42,0.56,2.61,21.6,2.04,24.23,7.61,31.4,4.01,11.34,8.87,1.41,0.14,0,0.42,1.9,0.49,0,46.2,0.56,5.63,21.55,22.04,2.82,42.46,1.34,2.68,50,1.62,0.49,31.27,143.1,74.01,4.08,1.2,0.56,2.46,3.38,45.28,30.42,67.2,6.34,0,0.63,2.25,0.56,0,0,0,6.97,0.85,2.82,23.1,1
"2",4,"862a1c15","Miguel Almirón","Newcastle Utd","Premier League",174,69,"Att Mid / Wing","Left","Paraguay",28.68,"Miguel Almirón - 28.68 - Newcastle Utd",0.26,0,0.26,0,0,0.04,0,0.22,0.22,0.05,0.26,2.19,0.61,28,0.12,0.43,17.4,0,0.1,0.05,0.05,23.83,29.18,81.7,357.45,90.79,13.21,14.79,89.3,8.12,10,81.1,1.58,2.41,65.5,0.7,1.32,0.92,0.13,2.76,28.65,0.53,0,0.04,4.39,0.22,1.23,0.18,0.04,0,0,23.78,2.9,2.5,26.24,1.67,0.61,0.35,0.09,0.18,0.31,0.92,1.01,2.19,1.49,0.04,0.26,0.26,0.09,0.04,0.26,0.09,0.04,0.09,0,0,0.04,2.5,1.4,1.01,1.01,0.48,0.7,1.89,37.2,1.18,19.83,5.18,26.1,4.17,7.46,8.21,1.1,0.09,0,1.23,3.73,0.61,0,41.86,1.1,6.14,15.8,22.91,4.43,41.38,1.14,2.15,53.1,1.23,0.13,30.76,183.64,86.09,4.52,1.18,0.88,2.11,1.49,38.31,28.57,74.6,5.66,0,0.97,1.1,0.48,0,0,0,6.32,0.22,0.92,19.2,1
"3",7,"328f7d51","Joe Aribo","Southampton","Premier League",183,76,"Att Mid / Wing","Left","Nigeria",26.24,"Joe Aribo - 26.24 - Southampton",0.16,0.16,0.16,0,0,0.16,0,0.24,0.24,0.26,0.5,1.75,0.42,24.2,0.09,0.38,13,0,0.14,-0.08,-0.08,24.72,32.93,75.1,321.25,92.59,16.25,20.17,80.6,6.19,8.1,76.5,0.79,1.43,55.6,1.54,1.59,1.01,0.16,2.81,32.82,0.11,0.05,0.11,7.73,0.16,0.85,0,0,0,0,23.88,5.08,3.97,21.92,6.25,1.85,0,0.64,0.11,0.32,1.38,1.43,3.02,2.38,0,0.21,0.26,0.16,0,0.37,0.32,0,0.05,0,0,0,2.17,1.38,1.01,0.95,0.21,0.53,1.27,41.7,0.74,18.85,6.09,32.3,4.08,9.16,5.61,1.54,0.11,0,1.48,3.65,1.06,0,46.96,1.32,6.88,22.18,20.86,4.76,46.91,1.59,2.86,55.6,1.75,0.11,31.29,147.55,84.39,4.5,1.43,0.69,2.12,1.91,44.63,31.82,71.3,5.45,0,0.95,1.43,0.05,0,0,0,7.09,3.12,4.34,41.8,1
"4",16,"d328a254","Philip Billing","Bournemouth","Premier League",192,79,"Att Mid / Wing","Left","Denmark",26.35,"Philip Billing - 26.35 - Bournemouth",0.33,0.11,0.33,0,0,0.11,0,0.06,0.06,0.06,0.12,0.89,0.45,50,0.38,0.75,18.9,0.11,0.07,0.28,0.28,23.53,30.56,77,361.67,86.77,12.83,14.83,86.5,8.03,10.15,79.1,1.67,3.12,53.6,0.78,1.67,0.45,0.11,1.78,29.44,1.12,0.89,0,5.69,0.67,0.89,0,0,0,0,20.97,4.01,5.58,22.08,4.35,2.01,0,0.45,0,0.67,1.23,1.67,1.67,1.34,0,0,0.11,0.22,0,0.33,0.22,0,0,0.11,0,0,2.12,1.34,0.89,0.78,0.45,0.56,1.78,31.3,1.23,21.97,5.35,24.4,7.36,8.81,5.8,2.12,0.45,0,1.23,3.35,1.56,0,42.83,2.45,11.38,20.52,14.5,2.57,41.71,0.67,1.34,50,0.67,0.22,24.42,121.45,65.91,2.68,1,0.56,1.78,2.01,36.36,28.1,77.3,3.46,0,1.34,1.78,0.33,0,0,0,6.02,2.45,1.56,61.1,1
"5",17,"79c84d1c","Jarrod Bowen","West Ham","Premier League",178,69,"Att Mid / Wing","Left","England",25.84,"Jarrod Bowen - 25.84 - West Ham",0.38,0.19,0.35,0.02,0.05,0.17,0,0.38,0.34,0.13,0.47,2.41,0.8,33.3,0.15,0.44,15.3,0,0.14,0,0.01,17.11,25.59,66.9,309.7,83.74,7.89,9.9,79.7,5.81,7.8,74.5,2.72,5.77,47.1,1.13,1.04,0.83,0.17,1.63,22.23,3.36,0.73,0.09,5.34,2.13,1.65,2.24,1.84,0.07,0.07,15.93,3.83,5.84,18.9,4.65,0.66,0.09,0.28,0.09,0.45,1.28,1.28,2.58,1.35,0.47,0.21,0.31,0.19,0.05,0.45,0.14,0.07,0.07,0.09,0.07,0,1.23,0.83,0.52,0.47,0.24,0.5,1.44,34.4,0.95,17.2,3.73,21.7,4.47,6.92,5.81,1.42,0.14,0,1.13,2.36,0.43,0,38.3,1.06,5.48,14.81,20.93,4.91,35.18,0.71,1.89,37.5,0.73,0.09,24.93,159.63,71.29,3.69,0.8,1.04,1.82,1.84,38.44,24.01,62.4,5.74,0,0.76,1.77,0.33,0.07,0,0,5.84,1.25,2.43,34,1
"6",21,"26ce2263","Ryan Christie","Bournemouth","Premier League",178,72,"Att Mid / Wing","Left","Scotland",27.65,"Ryan Christie - 27.65 - Bournemouth",0.14,0,0.14,0,0,0.14,0,0.19,0.19,0.07,0.25,1.94,0.55,28.6,0.07,0.25,14.1,0,0.1,-0.06,-0.06,23.78,28.76,82.7,422.9,85.16,9.95,11.61,85.7,10.23,11.47,89.2,2.49,3.87,64.3,1.11,1.66,0.83,0,3.18,28.06,0.69,0.14,0,5.67,0.69,0.14,0.41,0,0.28,0,23.09,3.32,2.35,22.26,5.25,0.55,0.14,0.14,0.14,0.14,0.97,0.83,2.63,2.21,0.14,0.14,0,0.14,0,0.14,0.14,0,0,0,0,0,2.07,1.38,0.69,1.24,0.14,0.83,2.63,31.6,1.8,22.12,4.98,22.5,7.6,9.95,4.56,1.11,0.28,0,1.8,3.87,1.24,0,43,2.21,11.89,21.15,15.35,3.32,42.3,1.66,2.63,63.2,1.94,0.41,30.83,200.74,103.96,3.73,2.21,0.55,2.21,1.66,33.18,26.68,80.4,2.77,0,2.63,3.18,0,0,0,0,8.16,1.11,1.38,44.4,1
"7",25,"2c44a35d","Emmanuel Dennis","Nott'ham Forest","Premier League",174,67,"Att Mid / Wing","Right","Nigeria",24.93,"Emmanuel Dennis - 24.93 - Nott'ham Forest",0.37,0.21,0.37,0,0,0.29,0.04,0.25,0.25,0.12,0.38,2.11,0.83,39.2,0.18,0.45,15.5,0.29,0.12,0.12,0.12,15.48,22.73,68.1,235.85,70.17,8.69,11.47,75.8,4.64,6.62,70,1.41,2.15,65.4,1.12,0.87,0.87,0.21,2.28,21.61,1.12,0.04,0.08,5.17,0.33,1.08,0.04,0,0.04,0,15.73,4.51,2.48,2.53,17.43,0.79,0.37,0.21,0.17,0.54,1.41,1.2,3.39,1.9,0.08,0.58,0.25,0.46,0.12,0.46,0.25,0,0.04,0.04,0.08,0.04,1.41,1.08,0.7,0.41,0.29,0.46,1.12,40.7,0.66,18.17,5.22,28.7,3.97,7.87,6.33,1.24,0.04,0,0.83,2.24,0.5,0,39.83,0.91,5.59,16.97,21.44,4.97,38.5,2.69,6.33,42.5,2.9,0.7,31.01,167.95,110.62,5.26,1.78,1.53,2.86,2.77,43.63,27.16,62.2,5.3,0.04,2.11,2.03,0.58,0.04,0,0,6.13,2.07,3.85,35,1
"8",28,"2fba6108","Anthony Elanga","Manchester Utd","Premier League",178,64,"Att Mid / Wing","Right","Sweden",20.47,"Anthony Elanga - 20.47 - Manchester Utd",0.16,0.16,0.16,0,0,0,0,0.25,0.25,0.14,0.39,1.6,0.59,36.7,0.1,0.27,15.1,0,0.15,-0.09,-0.09,23.89,31.32,76.3,328.52,79.95,15.34,18.01,85.2,6.31,8.82,71.5,1.28,1.98,64.9,0.8,0.91,0.43,0.16,1.44,30.57,0.75,0.05,0.05,7.16,0.37,1.28,0,0,0,0,22.98,4.17,4.17,5.13,22.55,1.18,0.69,0.16,0.05,0.27,1.87,1.34,1.87,1.07,0,0.27,0.11,0.32,0.11,0.37,0.21,0,0.05,0,0.05,0.05,1.76,1.02,0.69,0.86,0.21,0.59,1.71,34.4,1.12,19.93,5.61,28.2,5.99,8.87,5.08,1.55,0.21,0,1.12,2.89,0.48,0,44.79,0.86,8.34,16.73,22.66,4.6,44.09,1.18,2.67,44,1.34,0,31.32,136.82,76.48,3.58,1.23,0.96,2.78,1.44,44.57,32.98,74,5.99,0,0.91,1.71,0.37,0,0,0,4.7,2.24,1.92,53.8,1
"9",29,"68dc0dac","Mohamed Elyounoussi","Southampton","Premier League",178,69,"Att Mid / Wing","Right","Norway",28.21,"Mohamed Elyounoussi - 28.21 - Southampton",0.12,0.08,0.12,0,0,0.2,0,0.19,0.19,0.11,0.3,1.73,0.61,34.9,0.07,0.2,14.1,0,0.11,-0.06,-0.06,19.08,27.63,69.1,288.07,69.26,11.26,13.68,82.3,6.17,8.75,70.5,1.09,2.94,37,1.09,1.37,0.89,0.12,1.94,27.43,0.2,0.04,0.12,6.13,0.28,1.33,0.04,0,0,0,18.44,4.07,5.12,4.24,20.33,1.86,0.12,0.12,0.04,0.32,1.49,1.86,1.98,1.61,0,0.08,0.16,0.08,0.04,0.2,0.16,0,0,0.04,0,0,2.1,1.53,0.93,0.89,0.28,0.56,1.78,31.8,1.21,21.02,6.45,30.7,6.25,10.17,4.6,2.06,0.2,0,0.85,2.94,1.37,0,41.47,1.98,7.38,17.91,19.28,3.55,41.27,0.85,1.86,45.7,1.13,0.16,26.38,145.63,74.19,3.95,1.53,0.52,1.9,1.9,34.94,25.58,73.2,4.8,0,1.73,1.05,0.04,0,0,0,8.07,1.49,2.58,36.6,1
"10",34,"d56543a0","Ryan Fraser","Newcastle Utd","Premier League",163,69,"Att Mid / Wing","Right","Scotland",28.65,"Ryan Fraser - 28.65 - Newcastle Utd",0.11,0.16,0.11,0,0,0.21,0,0.15,0.15,0.14,0.3,1.32,0.42,32,0.08,0.25,16.8,0,0.12,-0.05,-0.05,20.57,29.54,69.6,341.17,108.89,11.4,13.29,85.7,6.59,9.71,67.9,2.11,5.22,40.4,1.58,1,1.37,0.74,1.74,27.01,2.53,0.53,0,3.85,1.27,3.64,1.69,0.69,0.42,0.32,17.94,3.43,8.18,4.59,22.79,1.42,0.26,0.21,0.42,0.95,0.84,0.95,2.69,1.74,0.47,0,0.16,0.26,0.05,0.26,0.16,0.05,0,0,0.05,0,0.74,0.21,0.37,0.32,0.05,0.26,1.06,25,0.79,10.08,2.48,24.6,2.11,4.06,3.9,1.06,0.11,0,0.79,1.53,0.63,0,37.4,1.27,7.07,13.14,19.62,2.8,34.87,0.11,0.37,28.6,0.11,0,24.11,133.26,83.19,4.75,1.37,0.9,0.84,0.58,35.08,25.43,72.5,3.75,0,0.84,1.74,0.16,0,0,0,5.33,0.32,1.21,20.7,1
