"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",6,"99127249","Antony","Manchester Utd","Premier League",172,64,"Att Mid / Wing","Left","Brazil",22.65,"Antony - 22.65 - Manchester Utd",0.34,0.17,0.34,0,0,0.09,0,0.22,0.22,0.14,0.36,3.42,1.71,50,0.1,0.2,19.9,0,0.07,0.12,0.12,35.59,46.03,77.3,527.6,134.23,19.76,23.61,83.7,13.6,16.6,82,1.37,3.25,42.1,1.11,1.45,1.54,0.26,3.59,44.14,1.88,0.43,0.09,7.79,0.43,2.31,0.34,0,0,0,36.02,5.05,4.96,39.52,3.85,0.77,1.11,0.34,0.34,0.68,2.65,1.2,3.51,3.08,0,0.09,0.17,0,0.17,0.6,0.43,0,0.09,0,0,0.09,1.45,0.6,0.51,0.77,0.17,0.6,1.88,31.8,1.28,10.61,2.14,20.2,1.8,5.73,3.08,1.2,0,0,1.63,3.08,0.17,0,58.94,0.43,5.9,21.3,36.44,4.19,57.49,1.71,3.76,45.5,1.88,0.34,48.51,248.1,143.38,9.41,2.31,1.2,1.11,1.45,53.47,45.86,85.8,7.61,0,0.43,2.05,0.34,0,0,0,6.59,0.51,0.77,40,3
"2",13,"3a233281","Leon Bailey","Aston Villa","Premier League",181,69,"Att Mid / Wing","Left","Jamaica",25.19,"Leon Bailey - 25.19 - Aston Villa",0.07,0.15,0.07,0,0,0.22,0,0.17,0.17,0.12,0.29,2.13,0.73,34.5,0.03,0.1,17.7,0.29,0.08,-0.1,-0.1,17.66,27.12,65.1,306.72,80.25,8.43,10.55,79.9,6.08,9.16,66.4,2.27,4.69,48.4,0.88,0.51,1.39,0.51,2.13,25.5,1.61,0,0.07,5.2,1.1,2.86,1.1,0.95,0.07,0,14.58,5.42,7.11,19.13,5.35,0.81,0.44,0.15,0,0.59,0.95,1.17,2.27,1.69,0.15,0.29,0.07,0.07,0,0.22,0.15,0,0.07,0,0,0,1.54,1.03,0.59,0.66,0.29,0.37,1.17,31.3,0.81,16.93,4.91,29,2.93,7.4,6.6,1.32,0.15,0,0.37,1.91,0.37,0,41.41,0.66,4.54,14.22,25.65,3.88,39.58,1.39,3,46.3,1.61,0,30.71,168.93,86.41,5.72,1.25,1.1,2.93,3,40.16,28.88,71.9,6.74,0,1.69,1.03,0.37,0,0,0,5.64,1.54,2.86,35,3
"3",14,"3ea50f67","Harvey Barnes","Leicester City","Premier League",174,68,"Att Mid / Wing","Right","England",24.87,"Harvey Barnes - 24.87 - Leicester City",0.3,0.38,0.3,0,0,0,0,0.29,0.29,0.16,0.44,3.11,1.21,39,0.1,0.25,15.5,0,0.09,0.02,0.02,23.13,31.01,74.6,323.38,98.8,14.52,17.51,82.9,7.17,9.89,72.4,0.83,1.93,43.1,1.1,1.21,1.21,0.11,3.03,30.59,0.42,0,0.15,6.56,0.45,1.82,0,0,0,0,22.48,4.36,4.17,3.37,25.32,0.99,0.34,0.15,0.08,0.42,1.52,1.14,2.5,1.93,0,0.3,0.15,0.11,0,0.61,0.49,0,0,0.11,0,0,1.33,0.68,0.49,0.45,0.38,0.23,1.02,22.2,0.8,13.46,3.79,28.2,3.11,5.46,4.89,1.14,0,0,0.45,1.78,0.19,0,44.89,0.61,5.46,17.14,26.35,6.37,44.47,1.18,2.99,39.2,1.33,0.27,33.66,215.71,151.3,8.34,2.12,2.05,2.39,2.01,49.13,35.14,71.5,6.29,0,1.14,1.33,0.23,0,0,0,5.27,1.18,2.27,34.1,3
"4",15,"5a04fd92","Saïd Benrahma","West Ham","Premier League",172,67,"Att Mid / Wing","Right","Algeria",27.19,"Saïd Benrahma - 27.19 - West Ham",0.28,0.2,0.28,0,0,0.04,0,0.21,0.21,0.14,0.34,2.81,0.99,35.2,0.1,0.28,18.1,0.12,0.07,0.07,0.07,26.15,34.58,75.6,414.75,95.3,14.8,17.13,86.4,8.58,11.31,75.9,1.9,3.52,53.9,1.42,1.19,1.35,0.47,2.65,33.39,1.19,0.08,0.12,6.01,0.75,2.77,0.32,0.12,0.08,0,25.71,4.15,4.71,6.09,26.58,0.87,0.36,0.32,0.12,0.59,1.7,0.95,3.13,2.29,0,0.32,0.24,0.24,0.04,0.28,0.2,0,0.04,0.04,0,0,1.35,0.95,0.59,0.55,0.2,0.47,1.27,37.5,0.79,15.86,3.92,24.7,4.55,7.56,3.76,1.03,0.08,0,0.47,1.82,0.36,0,48.34,0.55,6.92,19.07,26.47,5.18,47.2,1.86,4.15,44.8,2.18,0.36,37.86,217.19,125.25,7.08,1.7,1.31,2.29,2.02,46.29,35.45,76.6,7.64,0,0.67,1.07,0.51,0,0,0,7,0.44,0.83,34.4,3
"5",26,"4a1a9578","Luis Díaz","Liverpool","Premier League",180,72,"Att Mid / Wing","Right","Colombia",25.76,"Luis Díaz - 25.76 - Liverpool",0.4,0.22,0.4,0,0,0.07,0,0.36,0.36,0.21,0.57,3.15,1.23,39.1,0.13,0.32,15.4,0,0.11,0.04,0.04,33.47,39.23,85.3,539.24,116.87,18.49,20.96,88.2,11.39,13.16,86.5,2.68,3.12,86,1.34,1.96,1.78,0.29,3.59,38.98,0.25,0,0.11,6.89,1.12,1.85,0,0,0,0,31.37,4.13,3.73,4.93,31.47,1.27,0.25,0.33,0,0.47,1.49,0.73,3.66,2.43,0,0.69,0.29,0.15,0.11,0.47,0.25,0,0.11,0.04,0.07,0,1.23,0.94,0.25,0.58,0.4,0.22,0.98,22.2,0.76,15.88,6.2,39,2.1,6.06,7.72,0.83,0.11,0,0.69,1.92,0.11,0,54.1,0.33,3.05,22.45,33.14,7.9,53.85,2.65,4.39,60.3,2.79,0.07,45.62,267.9,139.68,8.05,1.85,2.03,2.57,3.15,58.74,43.22,73.6,10.48,0,1.74,2.14,0.33,0.04,0,0,6.67,1.34,2.76,32.7,3
"6",38,"4468ec10","Demarai Gray","Everton","Premier League",178,66,"Att Mid / Wing","Right","England",26.31,"Demarai Gray - 26.31 - Everton",0.1,0.1,0.1,0,0,0.1,0,0.18,0.18,0.14,0.32,2.45,0.62,25.4,0.04,0.17,19.7,0.24,0.07,-0.08,-0.08,21.01,30.1,69.8,404.98,96.85,9.4,10.95,85.8,7.61,9.37,81.3,3.41,7.78,43.8,1.52,0.96,0.9,0.21,1.96,24.8,5.3,1.83,0.03,5.58,2.72,2.69,2.65,1.55,0.96,0.03,19.43,3.1,7.58,3.13,25.87,0.45,0.28,0.1,0.03,0.72,1.03,1.38,3.07,1.69,0.55,0.45,0.24,0.14,0,0.31,0.17,0.07,0.03,0.03,0,0,1.1,0.59,0.45,0.31,0.34,0.48,1.1,43.8,0.62,12.26,3.93,32,3.17,4.72,4.37,1.48,0.1,0,0.52,1.62,0.59,0.03,44.19,0.79,4.93,17.63,25.69,3.69,39.09,1.96,3.51,55.9,2.17,0.1,31.89,210.48,117.04,6.13,2,1.24,2.62,2.45,39.75,28.93,72.8,5.27,0,0.45,1.79,0.28,0,0,0,5.51,0.31,2.48,11.1,3
"7",42,"aa849a12","Jack Harrison","Leeds United","Premier League",175,69,"Att Mid / Wing","Left","England",25.92,"Jack Harrison - 25.92 - Leeds United",0.28,0.12,0.28,0,0,0.16,0,0.15,0.15,0.13,0.28,1.43,0.62,43.5,0.2,0.45,16.9,0,0.1,0.13,0.13,23.51,36.14,65.1,375.11,132.95,13.09,16.39,79.9,7.46,11.35,65.8,2.05,5.13,40,1.59,1.52,1.62,0.34,3.27,33.56,2.58,0.53,0.09,7.06,1.34,2.77,1.28,0.37,0.56,0.12,22.02,7.34,6.78,24.29,9.77,0.68,0.78,0.22,0.22,0.87,2.02,1.87,3.08,1.9,0.53,0.22,0.16,0.19,0.09,0.16,0.06,0.03,0.03,0.03,0,0,1.96,1.12,0.56,0.84,0.56,0.78,1.93,40.3,1.15,20.77,5.66,27.2,5.16,9.42,6.19,1.99,0.12,0,1.34,3.3,0.9,0,51.34,1.12,9.21,20.81,25.38,3.73,48.92,1.65,3.51,46.9,1.83,0.19,37.16,197.7,117.21,6.44,1.74,0.96,2.61,2.74,44.78,34.33,76.7,5.88,0,1.15,1.28,0.12,0,0,0,7.15,0.68,2.39,22.2,3
"8",45,"92e7e919","Son Heung min","Tottenham","Premier League",183,76,"Att Mid / Wing","Right","Korea Republic",30.28,"Son Heung min - 30.28 - Tottenham",0.6,0.2,0.6,0,0,0.08,0,0.45,0.45,0.25,0.7,2.62,1.43,54.8,0.23,0.42,15.4,0.08,0.17,0.16,0.16,25.78,33.96,75.9,398.33,100.36,14.54,16.1,90.3,8.45,10.34,81.8,1.99,5.41,36.7,2.14,1.11,1.18,0.18,1.94,28.27,5.68,0.98,0.1,5.56,0.86,1.81,4.45,1.64,1.43,0.13,24.27,3.5,6.19,4.13,28.15,0.98,0.15,0.23,0.15,0.35,1.16,0.78,3.9,2.31,0.98,0.18,0.15,0.28,0,0.48,0.25,0.13,0.03,0,0.08,0,0.75,0.48,0.23,0.33,0.2,0.23,0.83,27.3,0.6,11.72,2.92,24.9,1.96,5.33,4.43,1.01,0.23,0,0.93,1.69,0.35,0,45.33,0.6,4.98,18.24,25.2,4.68,39.77,1.46,2.52,58,1.61,0.15,30.59,182.39,99.96,4.88,1.61,1.43,1.94,1.84,45.45,31.42,69.1,7.77,0,0.5,1.58,0.38,0.05,0,0,4.55,0.43,1.11,27.9,3
"9",64,"48a5a5d6","Martinelli","Arsenal","Premier League",180,74,"Att Mid / Wing","Right","Brazil",21.33,"Martinelli - 21.33 - Arsenal",0.33,0.26,0.29,0.03,0.03,0.13,0.03,0.32,0.3,0.19,0.49,2.62,0.82,31.3,0.11,0.36,15.5,0.07,0.12,0,-0.01,25.68,33.7,76.2,434.46,89.12,12.86,14.89,86.4,9.52,11.71,81.3,2.58,5.01,51.6,1.8,0.82,1.31,0.29,2.13,30.65,3.04,0.39,0,5.3,1.37,2.85,2.16,1.67,0,0,23.98,4.02,5.69,2.91,28.72,0.75,0.46,0.03,0.03,0.59,0.88,1.64,3.6,2.58,0.29,0.29,0.23,0.1,0.1,0.56,0.36,0.1,0.03,0.07,0,0,1.24,0.75,0.43,0.49,0.33,0.2,0.92,21.4,0.72,15.25,4.65,30.5,2.42,5.1,7.72,1.83,0.2,0,0.98,2.22,0.59,0,48.48,0.88,4.84,15.64,31.77,7.16,45.44,1.96,3.14,62.5,2.03,0.23,36.05,237.94,127.85,7.72,1.77,2.06,2.78,2.42,45.15,34.09,75.5,7.62,0.03,1.47,1.67,0.39,0,0,0,5.59,1.28,1.96,39.4,3
"10",74,"7ba2eaa9","Pedro Neto","Wolves","Premier League",173,62,"Att Mid / Wing","Left","Portugal",22.61,"Pedro Neto - 22.61 - Wolves",0.08,0.08,0.08,0,0,0.34,0,0.19,0.19,0.17,0.35,2.37,0.51,21.4,0.04,0.17,19.3,0.17,0.08,-0.1,-0.1,29.83,39.8,74.9,531.89,131.49,14.79,16.48,89.7,10.39,13.52,76.9,3.72,7.18,51.8,2.11,1.1,0.93,0.34,2.62,34.99,4.82,1.1,0,5.32,2.2,3.72,3.13,1.1,1.18,0.17,27.38,3.89,8.54,32.11,5.66,1.18,0.34,0.34,0,0.51,1.01,0.42,3.8,2.28,0.68,0.25,0.34,0.25,0,0.34,0.34,0,0,0,0,0,0.85,0.76,0.42,0.25,0.17,0.17,1.27,13.3,1.1,12.59,3.13,24.8,3.3,5.24,4.06,0.42,0,0,1.35,2.2,0.17,0,53.07,0.25,5.24,20.2,32.03,5.83,48.25,1.77,4.48,39.6,2.11,0.59,39.89,268.99,166.48,7.77,2.11,1.94,3.13,2.11,51.13,39.13,76.5,7.69,0,1.01,1.18,0.25,0,0,0,5.32,0.25,1.01,20,3
