"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",30,"507c7bdf","Bruno Fernandes","Manchester Utd","Premier League",173,64,"Att Mid / Wing","Right","Portugal",28.12,"Bruno Fernandes - 28.12 - Manchester Utd",0.18,0.23,0.18,0,0.02,0.27,0,0.24,0.22,0.27,0.49,2.35,0.8,34,0.08,0.23,20.2,0.14,0.1,-0.06,-0.04,44.18,58.28,75.8,840.99,243.51,20.59,23.88,86.2,15.95,19.33,82.5,6.67,12.3,54.3,2.51,4.55,2.17,0.41,5.65,52.95,5.33,1.21,0.37,9.53,3.22,2.13,2.08,0.59,0.85,0.05,39.63,5.83,12.82,3.95,51.28,1.55,0.66,0.3,0.41,1.21,2.65,1.01,4.41,3.31,0.5,0.16,0.21,0.14,0.09,0.37,0.32,0,0.02,0.02,0,0,1.69,1.14,0.73,0.75,0.21,0.59,1.74,34.2,1.14,16,4.39,27.4,3.2,7.56,5.23,1.03,0.02,0,1.23,2.93,1.23,0.07,69.82,2.15,10.72,33.48,29.94,3.27,64.65,0.71,1.44,49.2,0.8,0.16,47.35,219.9,122.27,5.71,2.06,0.66,1.14,1.42,61.14,50.81,83.1,6.15,0,1.19,1.71,0.23,0,0,0,7.68,0.78,1.12,41,4
"2",32,"ed1e53f3","Phil Foden","Manchester City","Premier League",169,69,"Att Mid / Wing","Left","England",22.39,"Phil Foden - 22.39 - Manchester City",0.5,0.3,0.5,0,0,0.11,0,0.41,0.41,0.24,0.65,2.51,1.08,42.9,0.2,0.46,13.9,0,0.17,0.09,0.09,38.88,47.58,81.7,641.96,136.12,21.68,24.05,90.1,13.31,15.55,85.6,3.37,6.16,54.7,1.77,2.07,1.66,0.5,3.37,43.83,3.76,0.69,0.25,6.57,2.35,2.35,2.38,0.77,1.16,0.06,36.37,4.64,6.57,43.52,2.32,0.99,0.28,0.19,0.17,0.52,1.68,0.66,3.7,2.54,0.52,0.11,0.36,0.14,0.03,0.72,0.5,0.08,0.03,0.08,0.03,0,0.77,0.61,0.33,0.25,0.19,0.3,0.66,45.8,0.36,16.54,5.47,33.1,1.96,5.05,9.53,0.77,0.11,0,0.75,1.52,0.03,0,58.41,0.36,3.01,22.51,36.48,6.41,54.76,1.46,2.54,57.6,1.6,0.06,45.57,202.09,96.93,5.8,1.88,1.13,1.57,2.15,57.19,46.45,81.2,8.51,0,0.66,1.66,0.39,0,0,0,4.81,0.36,1.22,22.8,4
"3",39,"b0b4fd3e","Jack Grealish","Manchester City","Premier League",175,68,"Att Mid / Wing","Right","England",27.11,"Jack Grealish - 27.11 - Manchester City",0.13,0.08,0.13,0,0,0.08,0,0.22,0.22,0.28,0.5,2.17,0.71,32.7,0.06,0.18,14,0,0.1,-0.09,-0.09,41.87,48.34,86.6,627.66,125.14,24.53,26.91,91.1,13.62,15.04,90.6,2.55,3.47,73.5,2.55,1.59,2.3,0,4.47,47.09,1.25,0.13,0.33,8.57,0.71,1.38,0.42,0.25,0.04,0,40.91,4.35,3.09,3.3,42.99,0.84,0.42,0.17,0.13,0.42,1.13,0.92,5.35,4.22,0.13,0.29,0.25,0.42,0.04,0.42,0.42,0,0,0,0,0,0.92,0.67,0.25,0.5,0.17,0.21,0.54,38.5,0.33,12.24,4.68,38.2,1.96,3.93,6.35,0.96,0.04,0,0.92,1.84,0.33,0,60.33,0.71,4.39,24.57,37.4,8.19,59.21,1.63,2.67,60.9,1.84,0.08,51.43,400.74,232.81,14.16,3.68,3.51,1.34,1.96,60.46,50.06,82.8,8.73,0,0.88,3.38,0.17,0,0,0,5.1,0.84,1.42,37,4
"4",61,"892d5bb1","Riyad Mahrez","Manchester City","Premier League",178,59,"Att Mid / Wing","Left","Algeria",31.65,"Riyad Mahrez - 31.65 - Manchester City",0.58,0.26,0.4,0.18,0.26,0.04,0,0.5,0.3,0.2,0.51,2.85,1.06,37.2,0.14,0.38,16.8,0.26,0.11,0.08,0.1,45.68,54.8,83.3,843.12,161.27,20.41,23,88.7,19.35,21.65,89.4,5.55,8.84,62.8,2.3,1.64,2.26,0.37,3.98,49.8,5,0.77,0.15,6.79,2.45,3.07,3.43,1.57,0.15,0.47,41.51,5.22,8.07,49.51,3.14,0.91,0.8,0.04,0.18,0.77,1.2,0.95,4.09,2.63,0.58,0.29,0.29,0.26,0.04,0.66,0.47,0.11,0,0.07,0,0,1.1,0.62,0.29,0.4,0.4,0.33,1.24,26.5,0.91,12.45,3.18,25.5,1.97,5.26,5.22,1.02,0.07,0,0.84,1.94,0.18,0,65.9,0.91,4.24,21.76,44.47,7.08,60.72,1.64,2.7,60.8,1.79,0.04,51.59,281.32,134.76,8.91,1.83,1.86,1.68,1.53,57.76,50.46,87.4,8.03,0,0.62,1.2,0.26,0,0,0,6.06,0.55,0.84,39.5,4
"5",71,"9674002f","Mason Mount","Chelsea","Premier League",175,63,"Att Mid / Wing","Right","England",23.77,"Mason Mount - 23.77 - Chelsea",0.36,0.39,0.34,0.03,0.03,0.21,0,0.28,0.26,0.21,0.47,2.71,0.89,32.7,0.13,0.38,17.4,0.18,0.1,0.09,0.08,38.07,48.54,78.4,615.15,175.15,20.9,23.76,87.9,12.32,15.19,81.1,3.49,6.64,52.5,2.29,2.81,2.06,0.52,4.61,44.77,3.78,0.44,0.16,7.95,2.01,2.63,2.81,0.89,1.69,0.08,35.49,5.26,7.79,4.59,42.06,1.07,0.23,0.13,0.31,0.55,1.69,1.22,4.01,2.68,0.83,0.13,0.26,0.08,0.03,0.52,0.31,0.13,0,0.03,0.05,0,2.01,1.25,0.39,0.99,0.63,0.47,1.28,36.7,0.81,20.66,6.28,30.4,3.02,8.7,8.94,1.38,0.16,0,0.63,2.63,0.36,0,60.69,0.73,4.79,24.73,35.36,5.78,56.8,0.78,1.64,47.6,0.94,0.13,42.6,208.87,114.94,6.77,3.05,0.99,1.77,1.56,56,45.36,81,8.91,0,1.43,1.28,0.13,0.03,0,0,5.89,0.47,1.49,24,4
"6",78,"c4486bac","Michael Olise","Crystal Palace","Premier League",178,68,"Att Mid / Wing","Left","France",20.86,"Michael Olise - 20.86 - Crystal Palace",0.06,0.36,0.06,0,0,0.3,0,0.08,0.08,0.26,0.34,1.38,0.66,47.8,0.04,0.09,19.3,0.12,0.06,-0.02,-0.02,34.03,47.31,71.9,640.1,192.32,14.79,17.62,84,13.95,17.8,78.4,4.63,9.32,49.7,2.1,2.16,1.8,0.66,4.57,41.48,5.83,2.46,0.18,6.91,3.07,3.61,2.53,1.5,0.66,0.06,30.54,5.29,11.48,38.84,6.31,0.84,0.84,0.24,0.36,1.2,1.68,1.86,3.31,2.46,0.48,0.24,0,0,0.12,0.36,0.3,0.06,0,0,0,0,2.04,1.2,1.08,0.6,0.36,0.66,1.56,42.3,0.9,19.42,4.87,25.1,6.13,8.48,4.81,1.86,0,0,1.14,3.19,0.66,0,63.01,1.26,7.82,29.46,31.26,3.07,58.02,1.98,4.21,47.1,1.98,0,46.23,269.76,166.41,9.2,2.65,1.26,2.28,2.34,53.51,43.59,81.5,3.85,0,1.44,2.77,0.06,0,0,0,7.64,0.36,1.62,18.2,4
"7",111,"6622454d","Hakim Ziyech","Chelsea","Premier League",180,69,"Att Mid / Wing","Left","Morocco",29.58,"Hakim Ziyech - 29.58 - Chelsea",0.26,0.26,0.26,0,0,0.21,0,0.3,0.3,0.26,0.56,3.77,1.41,37.5,0.07,0.19,19.7,0.26,0.08,-0.04,-0.04,37.07,50.89,72.8,616.28,200.58,19.84,22.25,89.2,12.41,16.18,76.7,3.56,9.16,38.9,2.09,3.14,2.3,0.52,5.13,46.07,4.82,0.73,0.21,7.59,1.83,4.03,2.93,0.89,1.88,0.05,34.92,4.87,11.1,42.41,5.65,0.89,1.05,0.16,0.37,1.26,1.73,1.31,4.66,3.14,0.52,0.31,0.42,0.16,0.1,0.52,0.42,0.05,0.05,0,0,0,1.68,0.79,0.31,1.05,0.31,0.31,1.26,25,0.94,18.27,5.13,28.1,3.3,7.96,7.02,1.41,0.1,0,1.15,2.83,0.47,0,67.8,0.79,5.5,25.03,40.84,5.03,62.88,2.15,4.61,46.6,2.3,0.58,50.68,220.89,107.17,6.28,1.57,1.36,1.88,2.62,56.6,47.59,84.1,7.91,0,2.04,2.3,0.31,0,0,0,9.58,0.79,1.26,38.5,4
"8",121,"3a24769f","Ross Barkley","Nice","Ligue 1",189,83,"Att Mid / Wing","Right","England",28.88,"Ross Barkley - 28.88 - Nice",0.18,0,0.18,0,0,0.18,0,0.3,0.3,0.27,0.57,3.02,0.89,29.4,0.06,0.2,21.8,0.18,0.1,-0.12,-0.12,44.73,55.03,81.3,776.8,200.41,21.3,23.08,92.3,17.93,21.66,82.8,4.08,7.1,57.5,3.55,3.37,2.13,0.18,4.79,50.41,4.62,0.71,0.71,9.76,1.6,0.89,3.73,0.53,2.49,0.18,41.72,5.68,7.63,7.1,44.02,1.6,0.18,0.53,0,0.71,2.31,0.89,6.39,3.55,1.78,0.71,0,0.18,0.18,0.89,0.71,0.18,0,0,0,0,1.24,0.89,0.36,0.53,0.36,0.36,0.53,66.7,0.18,9.94,2.31,23.2,1.78,5.5,2.66,0.89,0,0,0.71,1.95,0.18,0,65.33,0.36,7.46,31.07,33.02,2.84,60.71,1.78,2.49,71.4,1.95,0.18,49.7,316.69,181.07,6.75,4.08,0.53,0.71,2.49,55.38,50.24,90.7,6.57,0,0.71,1.95,0.18,0,0,0,6.75,1.78,1.07,62.5,4
"9",132,"20e73fac","Benjamin Bourigeaud","Rennes","Ligue 1",177,66,"Att Mid / Wing","Right","France",28.76,"Benjamin Bourigeaud - 28.76 - Rennes",0.28,0.31,0.28,0,0,0.08,0,0.16,0.16,0.39,0.55,1.65,0.72,43.8,0.17,0.39,17.4,0.23,0.1,0.13,0.13,39.7,54.15,73.3,824.12,295.94,14.71,17.76,82.8,17.27,21.09,81.9,7.43,13.16,56.5,3.48,3.54,2.94,0.88,6.3,47.7,6.45,1.29,0.26,5.73,2.86,3.54,4.34,1.14,2.53,0.13,34.66,7.05,12.44,5.29,45.99,1.42,0.8,0.23,0.28,1.14,2.61,1.24,5.11,2.86,1.94,0.08,0.18,0.05,0,0.59,0.44,0.13,0,0.03,0,0,1.16,0.59,0.39,0.57,0.21,0.62,1.88,32.9,1.26,16.47,4.16,25.2,3.41,7.77,5.29,1.37,0.13,0,1.37,2.53,0.96,0,63.29,1.7,7.38,29.63,29.19,3.07,56.73,0.36,0.93,38.9,0.36,0.13,40.42,168.36,92.35,5.55,1.65,0.34,1.06,0.67,51.1,45.09,88.2,5.55,0,0.8,0.36,0.08,0,0.03,0,5.81,0.54,1.29,29.6,4
"10",134,"148e136f","Rémy Cabella","Lille","Ligue 1",171,66,"Att Mid / Wing","Right","France",32.61,"Rémy Cabella - 32.61 - Lille",0.13,0.53,0.13,0,0,0,0,0.11,0.11,0.38,0.49,1.06,0.8,75,0.13,0.17,14.4,0.27,0.1,0.03,0.03,58.06,69.32,83.7,919.35,324.74,32.34,36.72,88.1,20.01,22.8,87.8,3.98,6.63,60,3.18,6.63,3.45,0.4,11.13,65.48,3.84,1.06,0.27,8.48,1.59,2.12,1.86,1.06,0.13,0,54.74,6.49,8.09,9.81,56.73,1.33,0.8,0.4,0.13,0.53,2.92,1.19,5.43,4.77,0.13,0,0.13,0.27,0.13,1.06,0.93,0,0,0,0,0.13,2.78,1.59,1.06,1.33,0.4,0.93,2.92,31.8,1.99,21.61,6.49,30.1,5.7,10.47,5.43,1.46,0.27,0,0.66,3.45,0.53,0.13,80.99,1.06,9.01,40.69,37.25,5.43,77.14,1.99,3.18,62.5,2.52,0.4,57.92,324.08,197.89,10.87,3.71,1.33,1.06,2.65,69.85,62.7,89.8,8.88,0,1.06,1.33,0.13,0,0,0,8.35,0.27,1.19,18.2,4
