,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
57,0a1cb833,Jiří Pavlenka,Werder Bremen,Bundesliga,196,81,Goalkeeper,Right,Czech Republic,30.51,Jiří Pavlenka - 30.51 - Werder Bremen,1.61,5.48,3.76,70.6,0.43,0.32,0.32,0.11,10.0,0.0,0.0,0.0,0.0,,0.0,0.32,0.0,1.32,0.25,-0.29,7.95,19.87,40.0,32.0,5.05,44.6,39.8,9.56,58.4,48.3,7.2,0.43,6.0,0.43,13.1
58,9f941969,Manuel Riemann,Bochum,Bundesliga,186,83,Goalkeeper,Right,,34.11,Manuel Riemann - 34.11 - Bochum,1.7,5.27,3.91,71.8,0.27,0.18,0.55,0.15,15.2,0.36,0.21,0.09,0.06,30.0,0.0,0.24,0.15,1.85,0.3,0.31,18.58,36.97,50.2,46.15,3.42,69.4,49.1,7.58,65.2,49.9,8.12,0.76,9.3,2.3,19.4
59,a70b8345,Frederik Rønnow,Union Berlin,Bundesliga,188,76,Goalkeeper,Right,Denmark,30.21,Frederik Rønnow - 30.21 - Union Berlin,0.65,3.1,2.55,80.6,0.65,0.2,0.15,0.4,40.0,0.05,0.05,0.0,0.0,0.0,0.0,0.1,0.05,0.69,0.21,0.09,7.6,18.95,40.1,31.0,3.85,47.6,40.5,5.8,72.4,55.5,8.25,0.9,10.9,0.65,14.8
60,87436846,Marvin Schwäbe,Köln,Bundesliga,189,86,Goalkeeper,Right,Germany,27.48,Marvin Schwäbe - 27.48 - Köln,1.45,4.23,2.9,66.4,0.45,0.26,0.29,0.13,12.9,0.1,0.03,0.06,0.0,66.7,0.1,0.13,0.13,1.21,0.27,-0.12,6.0,13.16,45.6,38.58,3.81,27.5,32.1,6.48,39.3,37.7,7.0,0.29,4.1,0.55,14.1
61,0d55d942,Alexander Schwolow,Schalke 04,Bundesliga,189,83,Goalkeeper,Right,,30.38,Alexander Schwolow - 30.38 - Schalke 04,2.06,5.27,3.36,63.8,0.19,0.31,0.54,0.19,18.5,0.15,0.15,0.0,0.0,0.0,0.0,0.27,0.0,1.76,0.31,-0.31,7.72,18.08,42.7,26.98,4.47,45.3,39.7,7.8,75.0,56.2,10.59,0.61,5.8,0.57,13.8
62,420c18a1,Yann Sommer,M'Gladbach,Bundesliga,183,77,Goalkeeper,Right,Switzerland,33.84,Yann Sommer - 33.84 - M'Gladbach,1.8,5.74,4.03,71.1,0.37,0.29,0.34,0.2,20.0,0.2,0.14,0.06,0.0,28.6,0.06,0.14,0.03,1.98,0.32,0.21,6.89,17.54,39.3,41.86,4.77,34.4,33.8,7.26,43.3,38.3,8.63,0.66,7.6,1.17,16.2
63,ce17b5eb,Kevin Trapp,Eint Frankfurt,Bundesliga,189,83,Goalkeeper,Right,Germany,32.28,Kevin Trapp - 32.28 - Eint Frankfurt,1.39,4.17,2.9,70.5,0.42,0.28,0.28,0.18,18.4,0.18,0.16,0.0,0.02,0.0,0.02,0.14,0.04,1.29,0.28,-0.06,4.85,16.31,29.8,27.06,4.31,47.6,38.9,6.99,49.0,42.5,7.83,0.48,6.2,0.81,14.9
64,7d3e7da6,Sven Ulreich,Bayern Munich,Bundesliga,192,83,Goalkeeper,Right,Germany,34.21,Sven Ulreich - 34.21 - Bayern Munich,1.56,3.78,2.44,61.8,0.44,0.22,0.33,0.22,22.2,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,1.43,0.35,-0.01,3.78,8.56,44.2,34.11,5.56,22.5,27.4,6.11,14.5,23.6,6.56,0.67,10.2,1.33,17.6
65,5c4bf6ba,Robin Zentner,Mainz 05,Bundesliga,194,96,Goalkeeper,Right,,27.98,Robin Zentner - 27.98 - Mainz 05,1.38,3.85,2.59,66.4,0.38,0.24,0.38,0.26,26.5,0.15,0.09,0.03,0.03,25.0,0.0,0.15,0.03,1.26,0.31,-0.09,4.97,15.09,32.9,24.06,5.5,45.8,41.0,7.12,57.0,47.6,7.21,0.65,9.0,1.62,17.4
66,649b01d8,Emil Audero,Sampdoria,Serie A,190,78,Goalkeeper,Right,,25.75,Emil Audero - 25.75 - Sampdoria,1.64,4.43,2.92,64.4,0.23,0.16,0.62,0.13,12.9,0.1,0.07,0.03,0.0,33.3,0.0,0.07,0.1,1.45,0.31,-0.09,7.26,18.26,39.7,29.27,4.37,46.1,40.9,7.23,65.9,49.3,9.99,0.95,9.5,0.49,13.6
67,8cabdc1e,Andrea Consigli,Sassuolo,Serie A,189,78,Goalkeeper,Right,Italy,35.72,Andrea Consigli - 35.72 - Sassuolo,1.64,3.93,2.47,63.4,0.36,0.31,0.33,0.15,15.4,0.23,0.21,0.03,0.0,11.1,0.0,0.26,0.03,1.63,0.36,0.01,7.32,15.68,46.7,32.66,4.29,39.2,35.9,7.07,40.7,34.7,8.84,0.46,5.2,0.75,13.9
68,4e0c8d66,Michele Di Gregorio,Monza,Serie A,ml>,,Goalkeeper,Right,,25.23,Michele Di Gregorio - 25.23 - Monza,1.5,4.1,2.6,63.4,0.3,0.1,0.6,0.3,30.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.1,1.4,0.36,0.0,6.0,14.8,40.5,34.9,6.1,37.2,37.6,5.4,33.3,34.4,7.1,0.5,7.0,0.4,13.4
69,085e71a7,Bartłomiej Drągowski,Spezia,Serie A,191,86,Goalkeeper,Right,Poland,25.17,Bartłomiej Drągowski - 25.17 - Spezia,1.75,5.33,3.58,67.2,0.25,0.25,0.5,0.17,16.7,0.08,0.0,0.0,0.08,,0.08,0.17,0.0,1.59,0.31,-0.16,6.58,16.17,40.7,32.42,5.0,37.5,35.6,6.5,61.5,49.2,7.58,0.42,5.5,0.75,15.6
70,9f5a610b,Wladimiro Falcone,Lecce,Serie A,ml>,,Goalkeeper,Right,Italy,27.52,Wladimiro Falcone - 27.52 - Lecce,1.33,4.97,3.9,76.3,0.15,0.31,0.51,0.1,10.5,0.15,0.15,0.0,0.0,0.0,0.05,0.15,0.1,1.39,0.25,0.16,6.1,18.15,33.6,28.21,5.08,44.0,38.8,8.21,70.0,49.6,10.56,0.82,7.8,0.26,12.9
71,74419746,Samir Handanović,Inter,Serie A,193,92,Goalkeeper,Right,Slovenia,38.26,Samir Handanović - 38.26 - Inter,0.88,3.21,2.38,74.1,0.64,0.17,0.19,0.43,42.9,0.05,0.05,0.0,0.0,0.0,0.0,0.07,0.05,0.78,0.23,-0.05,5.17,9.62,53.7,31.21,4.83,27.7,29.6,3.98,24.6,28.9,6.31,0.36,5.7,0.24,13.2
72,fcb38f57,Mike Maignan,Milan,Serie A,187,79,Goalkeeper,Right,France,27.29,Mike Maignan - 27.29 - Milan,0.8,3.23,2.49,77.0,0.6,0.26,0.14,0.46,45.7,0.09,0.06,0.03,0.0,33.3,0.0,0.17,0.03,0.89,0.26,0.12,6.57,13.66,48.1,31.91,4.71,37.1,36.6,4.11,44.4,40.6,6.29,0.71,11.4,0.69,15.5
73,3318286e,Luís Maximiano,Lazio,Serie A,190,83,Goalkeeper,Right,Portugal,23.78,Luís Maximiano - 23.78 - Lazio,1.63,4.62,3.19,68.3,0.27,0.37,0.4,0.2,19.4,0.2,0.17,0.03,0.0,16.7,0.0,0.23,0.07,1.59,0.31,0.03,7.79,22.06,35.3,24.26,4.29,61.2,47.2,9.42,76.7,56.1,9.92,0.77,7.7,1.16,15.9
74,9413b19f,Alex Meret,Napoli,Serie A,185,77,Goalkeeper,Left,Italy,25.57,Alex Meret - 25.57 - Napoli,1.13,3.26,2.21,69.1,0.72,0.16,0.12,0.28,28.0,0.16,0.12,0.04,0.0,25.0,0.0,0.12,0.0,1.08,0.29,-0.05,3.3,6.59,50.0,22.71,4.66,21.6,27.6,7.03,24.0,27.9,7.36,0.36,4.9,0.32,14.1
