"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",1,"cd1acf9d","Trent Alexander Arnold","Liverpool","Premier League",175,68,"Fullback","Right","England",24.04,"Trent Alexander Arnold - 24.04 - Liverpool",0.09,0.3,0.09,0,0,0.14,0,0.08,0.08,0.31,0.39,1.56,0.41,26.5,0.06,0.22,23.3,0.18,0.05,0.01,0.01,64.95,87.32,74.4,1427.8,595.73,23.58,26.83,87.9,26.79,33.31,80.4,13.97,24.7,56.5,2.63,7.58,2.82,0.96,8.47,70.24,17.08,2.68,0.48,7.17,6.04,4.05,3.73,0.87,2.56,0.07,46.39,14.88,26.05,10.14,64.04,1.83,10.67,0.18,0.37,1.26,3.34,1.08,4.33,2.5,1.49,0.11,0.18,0.05,0,0.46,0.3,0.11,0,0.05,0,0,1.47,0.82,0.82,0.41,0.23,0.82,2.01,40.9,1.19,8.84,3.25,36.8,3.3,2.93,2.61,1.14,0.07,0.02,2.06,3.53,1.12,0.02,96.02,2.18,18.93,46.98,34.27,2.59,78.92,0.66,1.1,60.4,0.71,0,56.07,194.13,104.17,4.65,1.81,0.32,0.73,0.64,65.34,60.9,93.2,3.64,0,0.5,0.3,0.23,0,0,0,10.62,0.5,0.69,42.3,3
"2",4,"53cad200","César Azpilicueta","Chelsea","Premier League",178,76,"Fullback","Right","Spain",33.14,"César Azpilicueta - 33.14 - Chelsea",0.07,0,0.07,0,0,0.17,0,0.05,0.05,0.08,0.13,0.59,0.28,47.1,0.12,0.25,15.6,0,0.08,0.02,0.02,65.66,77.48,84.7,1107.38,389.69,31.5,34.58,91.1,29.41,32.87,89.5,4.16,7.87,52.9,0.77,4.51,0.8,0.17,5.42,69.76,7.73,1.57,0.04,6.54,0.49,1.68,0,0,0,0,57.73,8.95,10.8,6.4,60.63,3.11,6.15,0.07,0.21,0.87,2.31,2.06,1.61,1.57,0,0.04,0,0,0,0.04,0.04,0,0,0,0,0,2.2,1.29,0.84,1.01,0.35,0.98,1.92,50.9,0.94,15.1,4.72,31.3,5.84,6.57,2.69,2.48,0.42,0,1.82,4.02,3.18,0.04,88.22,4.2,25,43.67,24.3,2.31,80.8,0.56,0.77,72.7,0.56,0.04,54.72,223.95,135.42,6.64,1.92,0.31,0.63,0.49,65.59,61.78,94.2,2.27,0,1.26,0.35,0.07,0,0.04,0,7.87,2.2,1.33,62.4,3
"3",5,"bd6351cd","João Cancelo","Manchester City","Premier League",182,66,"Fullback","Right","Portugal",28.39,"João Cancelo - 28.39 - Manchester City",0.06,0.3,0.06,0,0,0.21,0,0.09,0.09,0.17,0.25,1.98,0.55,28,0.03,0.12,22.1,0.02,0.04,-0.02,-0.02,77.33,90.92,85.1,1380.87,388.2,36.61,39.34,93.1,32.08,36.7,87.4,7.9,12.39,63.7,1.15,7.07,2.41,0.43,7.47,82.23,8.69,1.4,0.15,7.68,2.68,2.9,0,0,0,0,64.29,12.94,13.69,11.37,68.2,2.7,7.28,0.34,0.21,1.45,2.51,0.94,2.94,2.36,0,0.19,0.28,0.04,0.06,0.53,0.45,0,0.04,0.02,0,0.02,2.26,1.43,0.83,0.85,0.57,0.92,2.11,43.4,1.19,8.94,3.19,35.7,2.64,3.73,2.58,1.04,0.11,0.02,1.85,4.11,1.43,0.02,102.45,2.06,17.14,55.54,36.87,3.24,94.09,1.58,3.07,51.4,1.79,0.43,75.18,328.84,183.15,9.92,3.49,0.96,0.92,0.83,78.99,75.82,96,3.85,0,0.98,1.09,0.15,0,0.02,0,9.79,1.47,1.13,56.6,3
"4",15,"1daec722","Marc Cucurella","Chelsea","Premier League",175,68,"Fullback","Left","Spain",24.24,"Marc Cucurella - 24.24 - Chelsea",0.03,0.08,0.03,0,0,0.16,0,0.02,0.02,0.07,0.09,0.58,0.08,13.6,0.05,0.33,20.3,0,0.04,0,0,57.98,70.4,82.4,1000.85,340.43,26.98,29.66,91,24.96,28.77,86.8,4.91,8.59,57.2,1.13,4.2,1.37,0.6,4.7,59.5,10.9,0.71,0.03,8.83,1.16,2.71,0.42,0.26,0.08,0,47.5,12.64,10.27,45.63,11.85,1.94,9.77,0.24,0.26,0.84,1.94,1.84,2.21,1.81,0.26,0.03,0.05,0.03,0.03,0.11,0.05,0.05,0,0,0,0,2.47,1.84,1.16,0.97,0.34,1.26,2.15,58.5,0.89,14.97,6.02,40.2,6.23,5.88,2.86,2.31,0.47,0.05,2.13,4.6,1.94,0,81.23,4.02,23.41,35.78,27.19,1.89,70.46,0.87,1.52,56.9,0.97,0.18,50.96,243.23,151.44,5.99,1.84,0.26,0.84,0.95,54.17,49.65,91.7,2.13,0,1,1,0.11,0,0,0,10.64,1.42,1.58,47.4,3
"5",27,"1265a93a","Reece James","Chelsea","Premier League",172,63,"Fullback","Right","England",22.87,"Reece James - 22.87 - Chelsea",0.21,0.27,0.21,0,0,0.27,0,0.11,0.11,0.21,0.31,1.72,0.51,29.8,0.12,0.41,21.4,0.27,0.06,0.11,0.11,67.42,77.81,86.7,1184.28,303.71,32.41,34.89,92.9,26.56,29.88,88.9,7.39,10.23,72.3,1.78,3.68,2.02,0.57,5.58,66.88,10.93,1.9,0.06,11.02,1.48,3.35,0.88,0.36,0.3,0.06,54.81,13.4,9.6,6.4,60.39,1.57,8.15,0.36,0.15,0.88,1.63,1.27,3.5,2.51,0.42,0.12,0.24,0.15,0.06,0.48,0.42,0,0.03,0.03,0,0,2.17,1.36,1.12,0.91,0.15,0.57,1.27,45.2,0.69,12.56,4.47,35.6,4.53,5.37,2.66,1.42,0.15,0,1.15,3.32,1.27,0,88.64,1.87,14.88,41.59,38.51,2.87,77.84,1.69,2.29,73.7,1.78,0.03,63.14,284.76,142.67,7.64,3.02,0.81,1.03,1.3,67.09,62.17,92.7,4.26,0,1.06,1.6,0.21,0,0,0.03,8.36,1.3,1.12,53.8,3
"6",40,"e0bc6fdc","Emerson Palmieri","West Ham","Premier League",176,63,"Fullback","Left","Italy",28.21,"Emerson Palmieri - 28.21 - West Ham",0,0.04,0,0,0,0.15,0,0.05,0.05,0.09,0.14,0.85,0.19,22.7,0,0,22.6,0.23,0.06,-0.05,-0.05,57.42,68.23,84.2,921.46,292.12,29.46,31.81,92.6,22.62,26.04,86.9,3.88,7.38,52.6,1.12,2.92,0.88,0.23,3.27,58.35,9.88,1.15,0.04,7.65,1.08,1.92,0.85,0.23,0.54,0,46.73,11.12,10.38,52.5,4.46,2.19,7.88,0.19,0.08,0.69,1.92,1.58,2.31,1.69,0.35,0,0.12,0.08,0.08,0.08,0.08,0,0,0,0,0,2.04,1.31,0.81,1.04,0.19,0.92,1.54,60,0.62,10.5,3.15,30,3.65,4.73,2.12,1.96,0.38,0.04,1.77,3.81,2.54,0.04,80.12,3.73,23.42,41.69,20.54,2.08,70.31,0.96,1.65,58.1,1.04,0.08,48.85,260.77,156.31,5.92,1.96,0.58,0.73,1,54.77,51.38,93.8,3.12,0,0.65,1.23,0.04,0,0.04,0,9.08,1.62,1.19,57.5,3
"7",45,"2e4f5f03","Andrew Robertson","Liverpool","Premier League",178,63,"Fullback","Left","Scotland",28.6,"Andrew Robertson - 28.6 - Liverpool",0.08,0.36,0.08,0,0,0.14,0.03,0.05,0.05,0.16,0.22,0.57,0.19,33.3,0.14,0.43,16.8,0,0.1,0.03,0.03,65.11,80.41,81,1197.3,418.39,28.88,31.53,91.6,28.58,33.39,85.6,7.16,13.28,53.9,1.99,4.97,1.61,0.46,6.2,67.27,13.14,2.02,0.05,5.36,2.79,3.09,3.09,0.46,2.35,0,53.03,12.49,14.89,64.13,4.43,2.81,8.03,0.11,0.19,0.87,1.91,1.39,3.17,2.08,0.93,0.05,0.03,0.05,0.03,0.55,0.38,0.14,0.03,0,0,0,1.15,0.66,0.52,0.49,0.14,0.52,1.39,37.3,0.87,10.27,3.66,35.6,3.31,4.13,2.84,1.56,0.16,0.03,1.58,2.73,1.83,0,88.61,2.81,20.66,42.13,31.45,3.25,75.66,0.46,1.09,42.5,0.6,0.08,55.82,245.87,153.06,6.26,2.43,0.36,0.71,0.63,64.62,59.45,92,3.96,0,0.57,0.33,0.14,0,0,0,8.96,1.09,0.77,58.8,3
"8",50,"9c94165b","Luke Shaw","Manchester Utd","Premier League",185,74,"Fullback","Left","England",27.27,"Luke Shaw - 27.27 - Manchester Utd",0,0.2,0,0,0,0.5,0,0.02,0.02,0.15,0.17,0.35,0.1,28.6,0,0,18.9,0,0.05,-0.02,-0.02,55.66,68.63,81.1,917.4,376.54,29.97,32.68,91.7,19.91,23.98,83,4.88,9.7,50.3,1.66,3.72,1.31,0.5,4.78,57.77,10.86,1.06,0.05,7.44,2.01,2.41,1.41,0.6,0.4,0.15,43.74,12.32,12.57,53.15,3.72,1.96,8.4,0.2,0.45,0.85,1.81,2.16,3.17,2.31,0.55,0,0.05,0.1,0.15,0.3,0.25,0.05,0,0,0,0,1.61,1.06,0.6,0.8,0.2,0.8,1.21,66.7,0.4,11.36,3.42,30.1,4.47,4.37,2.51,2.61,0.45,0,1.26,2.87,1.56,0,77.03,3.27,20.51,38.51,23.53,1.16,66.37,0.45,1.16,39.1,0.55,0.05,47.26,249.59,135.65,4.98,2.36,0.1,0.4,0.4,53.7,49.68,92.5,1.96,0,2.06,0.91,0.05,0,0,0,8.55,1.66,1.36,55,3
"9",61,"86dd77d1","Kyle Walker","Manchester City","Premier League",178,73,"Fullback","Right","England",32.39,"Kyle Walker - 32.39 - Manchester City",0,0.08,0,0,0,0.04,0.04,0.01,0.01,0.05,0.07,0.24,0.04,16.7,0,0,22.8,0,0.05,-0.01,-0.01,79.03,88.9,88.9,1534.55,413.84,30.19,32.14,93.9,37.95,41.24,92,10.28,13.81,74.4,0.69,9.06,0.98,0.16,5.24,81.95,6.95,1.14,0.12,6.09,2.44,1.46,0,0,0,0,69.36,9.75,9.79,2.36,77,2.44,5.81,0.28,0.24,0.65,1.75,1.06,1.63,1.5,0.04,0,0,0.08,0,0.16,0.12,0,0,0,0.04,0,1.18,0.73,0.61,0.53,0.04,0.61,1.14,53.6,0.53,7.4,2.72,36.8,2.64,3.82,0.93,1.22,0.16,0,1.42,2.6,1.1,0,94.71,2.19,18.53,61.8,19.87,1.06,87.89,0.41,0.61,66.7,0.41,0.08,70.01,295.56,129.54,5.16,1.83,0.16,0.53,0.33,75.7,73.38,96.9,1.63,0,0.33,0.57,0.04,0,0,0,8.29,1.3,0.73,64,3
"10",68,"51cf8561","Oleksandr Zinchenko","Arsenal","Premier League",175,60,"Fullback","Left","Ukraine",25.85,"Oleksandr Zinchenko - 25.85 - Arsenal",0,0.35,0,0,0,0.05,0,0.04,0.04,0.18,0.22,1.04,0.25,23.8,0,0,20.9,0,0.04,-0.04,-0.04,74.65,84.16,88.7,1285.76,380.51,37.25,39.77,93.6,30.17,33.29,90.6,6.59,9.06,72.7,1.34,7.33,2.18,0.4,7.83,76.73,7.43,0.84,0.1,8.37,1.09,2.03,0.2,0,0.1,0,63.8,11,9.36,67.51,6.04,2.82,6.34,0.25,0.35,0.45,2.18,1.04,3.22,2.67,0.15,0.15,0.05,0.15,0.05,0.69,0.45,0,0.1,0.05,0.05,0.05,1.73,1.04,0.69,0.59,0.45,0.69,1.63,42.4,0.94,9.26,3.02,32.6,2.48,4.21,2.58,1.24,0.2,0,1.59,3.32,1.24,0.1,91.63,1.88,15.36,51.07,31.6,1.88,84.3,0.59,0.94,63.2,0.59,0.1,65.09,311.16,174.75,9.11,3.17,0.3,0.64,0.74,69.44,66.72,96.1,3.17,0,0.79,0.35,0.05,0,0,0,10.45,1.68,1.34,55.7,3
