"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",0,"9b398aea","Rayan Aït Nouri","Wolves","Premier League",179,69,"Fullback","Left","France",21.37,"Rayan Aït Nouri - 21.37 - Wolves",0.04,0.07,0.04,0,0,0.18,0,0.04,0.04,0.08,0.12,0.66,0.22,33.3,0.06,0.17,16,0,0.05,0,0,38.62,49.81,77.5,665.02,236.77,19.75,21.64,91.2,15.12,18.51,81.7,3.46,7.47,46.3,0.84,1.89,0.98,0.47,3.1,39.75,10.06,0.73,0.04,6.63,1.42,2.37,1.06,0.29,0.62,0.07,29.19,10.64,9.98,33.52,5.28,2.04,8.27,0.04,0.11,1.13,1.53,1.49,2.04,1.28,0.36,0.26,0,0.07,0.07,0.22,0.15,0.04,0,0,0.04,0,3.35,1.86,2.44,0.58,0.33,1.13,1.86,60.8,0.73,18.69,6.23,33.3,10.13,5.9,2.66,1.6,0.11,0,1.75,5.1,1.64,0.04,63.22,3.17,21.72,24.41,20.7,2.48,53.34,1.97,3.61,54.5,2.22,0.15,39.46,184.41,117.47,6.05,1.2,0.73,1.46,1.57,41.5,36.91,88.9,3.24,0,1.06,1.13,0.11,0.04,0.04,0.04,6.78,1.09,1.09,50,4
"2",6,"1137759d","Sergi Canós","Brentford","Premier League",175,69,"Fullback","Right","Spain",25.71,"Sergi Canós - 25.71 - Brentford",0.12,0.12,0.12,0,0,0.31,0.06,0.14,0.14,0.07,0.22,1.62,0.56,34.6,0.08,0.22,15.9,0.06,0.09,-0.02,-0.02,21.29,34.17,62.3,356.7,138.61,11.2,14.07,79.6,7.47,11.2,66.7,2.12,6.47,32.7,0.81,2.3,1.06,0.44,3.55,32.8,1.37,0.19,0.12,5.98,1,2.3,0.37,0.19,0.12,0,19.73,4.85,9.59,4.54,26.7,1.62,0.75,0.12,0,0.93,1.81,1.43,1.56,1.24,0.06,0.12,0.06,0.06,0,0.12,0.12,0,0,0,0,0,2.18,0.93,0.93,0.81,0.44,0.87,2.68,32.6,1.81,19.42,4.92,25.3,7.28,7.78,4.36,1.56,0.12,0,1.31,3.49,1.49,0,46.56,2.8,12.32,21.54,16.31,2.68,45.19,1.12,2.61,42.9,1.24,0.25,30.68,173.78,99.4,5.35,1.62,0.44,1,1.81,36.54,28.63,78.4,3.55,0.06,1.37,1,0.31,0,0,0.06,8.65,0.68,1.37,33.3,4
"3",7,"2389cdc2","Matty Cash","Aston Villa","Premier League",185,76,"Fullback","Right","Poland",25.2,"Matty Cash - 25.2 - Aston Villa",0.08,0.08,0.08,0,0,0.22,0,0.05,0.05,0.05,0.11,0.78,0.3,37.9,0.1,0.27,18.2,0,0.07,0.03,0.03,32.14,43.8,73.4,581.96,216.01,14.38,16.38,87.8,13.63,16.82,81,3.51,8.76,40.1,0.78,2.03,0.95,0.54,2.57,34.77,9.03,0.73,0.03,4.24,1.14,2.41,0,0,0,0,23.76,8.25,11.79,4.24,28.63,1.89,8.3,0.08,0.11,0.78,1.38,2,1.46,1.14,0.03,0.08,0.03,0.16,0.03,0.11,0.08,0,0.03,0,0,0,2.41,1.11,1.46,0.78,0.16,1.05,1.92,54.9,0.87,12.92,3.68,28.5,7.3,4.46,1.16,2.51,0.51,0,2.33,4.73,2.51,0,56.26,4.11,19.57,24.3,15.76,2.35,47.45,0.51,0.81,63.3,0.57,0.08,31.31,191.65,106.41,3.87,1.19,0.65,0.76,1.24,32.98,29.55,89.6,2.51,0,1.27,1.32,0.05,0,0.03,0,7,1.08,1.22,47.1,4
"4",11,"0442183b","Nathaniel Clyne","Crystal Palace","Premier League",175,67,"Fullback","Right","England",31.53,"Nathaniel Clyne - 31.53 - Crystal Palace",0,0.05,0,0,0,0.1,0,0.01,0.01,0.03,0.04,0.15,0.1,66.7,0,0,24.5,0,0.04,-0.01,-0.01,36.89,46.58,79.2,632.86,231.33,16.58,18.21,91,17.4,21.22,82,2.45,5.61,43.6,0.41,1.84,0.46,0.2,1.63,36.07,10.51,0.77,0.05,5.97,0.36,0.92,0,0,0,0,27.6,8.62,10.36,1.79,32.81,1.43,9.74,0.26,0.05,0.51,1.28,0.77,0.82,0.66,0.1,0,0,0,0.05,0.1,0.1,0,0,0,0,0,1.53,0.71,0.71,0.71,0.1,0.51,0.97,52.6,0.46,8.42,2.6,30.9,4.13,3.16,1.12,0.97,0.2,0,1.94,3.47,1.89,0,53.62,2.96,20.05,26.48,10.05,0.15,43.32,0.26,0.36,71.4,0.26,0,28.06,134.64,69.44,2.09,0.66,0,0.51,0.15,31.58,29.08,92.1,0.56,0,0.31,0.36,0,0,0,0,6.73,0.71,1.07,40,4
"5",12,"0420d84f","Séamus Coleman","Everton","Premier League",177,67,"Fullback","Right","Republic of Ireland",34.02,"Séamus Coleman - 34.02 - Everton",0.04,0,0.04,0,0,0.11,0,0.04,0.04,0.04,0.08,0.29,0.04,12.5,0.13,1,15.9,0,0.14,0,0,30.61,40.87,74.9,535.83,231.45,14.75,16.53,89.2,12.33,16.46,74.9,3.1,6.59,47,0.39,2.89,0.75,0.39,2.49,32.57,8.3,0.61,0.04,5.74,0.46,1.21,0,0,0,0,21.38,7.8,11.69,6.95,23.16,2.28,7.7,0.07,0.11,1,1.35,1.71,1.14,0.82,0.07,0,0.11,0.07,0.07,0.04,0,0,0,0,0.04,0,2.35,1.28,1.28,0.68,0.39,0.75,1.32,56.8,0.57,11.29,4.13,36.6,5.13,4.38,1.78,2.21,0.5,0,2.03,4.38,2.64,0.07,52.23,4.74,18.38,24.76,12.08,1.35,44.11,0.89,1.35,65.8,0.96,0,28.36,149,72.79,2.64,0.78,0.21,0.78,1.03,27.29,24.3,89,1.32,0,0.64,0.71,0.04,0,0,0.04,9.19,1.21,1.28,48.6,4
"6",18,"254147d4","Moussa Djenepo","Southampton","Premier League",177,64,"Fullback","Right","Mali",24.34,"Moussa Djenepo - 24.34 - Southampton",0,0.16,0,0,0,0,0,0.03,0.03,0.03,0.06,0.65,0.16,25,0,0,16.7,0,0.05,-0.03,-0.03,24.88,32.96,75.5,418.33,145.26,12.6,14.54,86.7,10.5,13.09,80.2,1.62,3.88,41.7,0.81,1.78,0.97,0.32,3.07,28.76,4.2,0.16,0,3.55,0.32,0.97,0,0,0,0,21.81,3.88,7.27,8.89,18.58,1.29,4.04,0,0.16,0.65,0.81,1.78,1.78,1.45,0,0.16,0,0.16,0,0.32,0.16,0,0.16,0,0,0,3.23,2.1,1.94,0.97,0.32,0.97,2.75,35.3,1.78,17.45,5.66,32.4,6.95,6.79,3.72,2.1,0.32,0,1.94,5.17,2.26,0,47.34,2.1,13.09,20.36,16.48,2.91,43.14,2.1,3.72,56.5,2.26,0.48,32.64,223.95,138.64,7.43,1.13,0.97,1.62,1.29,29.25,24.24,82.9,1.62,0,1.29,2.26,0,0,0,0,8.56,0.48,1.78,21.4,4
"7",23,"c067631c","Ryan Fredericks","Bournemouth","Premier League",181,72,"Fullback","Right","England",30.03,"Ryan Fredericks - 30.03 - Bournemouth",0,0,0,0,0,0.24,0,0,0,0.02,0.02,0,0,NA,NA,NA,NA,0,NA,0,0,32.34,43.73,74,508.99,169.1,17.2,19.5,88.2,13.93,18.17,76.7,0.97,3.76,25.8,0.36,0.97,1.09,0.36,2.54,35.98,7.75,0.12,0,4.85,0.24,2.54,0,0,0,0,25.32,8.12,10.3,1.82,30.65,2.66,7.63,0.12,0.12,0.36,0.97,1.33,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0.61,0.61,0.24,0.24,0.48,0.85,57.1,0.36,5.81,1.45,25,2.79,1.94,1.09,1.57,0.24,0,1.09,2.18,3.15,0.12,53.18,5.81,16.59,21.32,17.2,0.61,45.42,0.24,0.48,50,0.24,0,27.38,122.22,71.22,3.27,0.61,0.24,0.97,0.85,33.8,30.28,89.6,1.45,0,0.97,0.48,0,0,0,0,6.78,1.94,0.97,66.7,4
"8",24,"f7b1d4e0","Saman Ghoddos","Brentford","Premier League",176,74,"Fullback","Right","Iran",29.12,"Saman Ghoddos - 29.12 - Brentford",0.19,0.19,0.19,0,0,0.39,0,0.04,0.04,0.19,0.23,0.58,0.19,33.3,0.33,1,21.5,0.19,0.06,0.16,0.16,26.19,38.21,68.5,414.7,123.36,14.74,19.78,74.5,8.34,11.06,75.4,2.33,5.82,40,0.97,1.75,1.16,0.39,3.1,34.33,3.88,1.75,0,5.63,0.58,2.33,1.36,0.78,0.39,0.19,22.11,6.21,9.89,2.33,31.03,2.52,0.58,0.19,0.19,1.16,2.13,2.52,3.69,2.72,0.19,0,0.19,0.58,0,0.39,0.19,0,0,0,0.19,0,2.52,0.78,1.16,0.97,0.39,1.16,1.75,66.7,0.58,19.4,3.69,19,6.79,6.98,5.63,2.52,0,0,1.36,3.88,2.13,0,51.59,3.88,12.41,21.92,20.37,3.1,48.3,0.39,0.97,40,0.39,0,28.32,143.73,86.51,4.46,1.55,0.39,1.55,0.78,41.31,28.9,70,5.24,0,2.13,2.33,0,0.19,0,0,9.5,1.75,2.52,40.9,4
"9",25,"8a3c1dc7","Rico Henry","Brentford","Premier League",170,68,"Fullback","Left","England",25.28,"Rico Henry - 25.28 - Brentford",0.09,0.03,0.09,0,0,0.03,0,0.06,0.06,0.06,0.12,0.56,0.21,36.8,0.16,0.43,16.5,0,0.11,0.03,0.03,27.93,38.76,72.1,459.09,156.54,13.98,16.48,84.8,10.77,14.1,76.4,2.56,5.71,44.8,0.5,1.41,0.77,0.35,2.12,33.88,4.89,0.12,0,5.53,0.59,1.94,0,0,0,0,21.37,8.3,9.09,28.14,2.47,2.59,4.77,0.06,0.15,0.79,1.53,1.94,1.09,0.97,0.03,0,0.03,0.03,0.03,0.09,0.09,0,0,0,0,0,1.24,0.77,0.79,0.26,0.18,0.32,1.09,29.7,0.77,12.16,2.88,23.7,5.5,4.06,2.59,2.27,0.32,0,1.8,3.03,2,0.03,49.5,3.36,15.8,20.54,15.75,1.5,44.74,0.59,1.3,45.5,0.68,0.03,28.05,134.74,71.93,3.18,1.09,0.47,0.88,1.21,30.81,26.37,85.6,2.09,0,0.47,1.06,0.06,0,0.03,0,9.57,1.18,1.35,46.5,4
"10",26,"1780bb4a","Aaron Hickey","Brentford","Premier League",175,64,"Fullback","Left","Scotland",20.36,"Aaron Hickey - 20.36 - Brentford",0.09,0.03,0.09,0,0,0.28,0,0.03,0.03,0.04,0.06,0.52,0.31,58.8,0.18,0.3,20.4,0,0.05,0.06,0.06,33.05,40.64,81.3,518.14,172.11,17.98,19.73,91.1,12.95,15.79,82,1.67,3.55,47,0.46,1.48,0.74,0.28,2.07,32.99,7.65,0.77,0.03,6.1,0.25,1.26,0,0,0,0,27.07,7.03,6.54,17.11,15.05,1.2,6.88,0.03,0.03,0.34,1.11,1.51,1.14,0.96,0.03,0.06,0,0.06,0.03,0.12,0.12,0,0,0,0,0,1.67,0.77,0.93,0.43,0.31,0.49,1.05,47.1,0.56,12.36,3.58,28.9,5.7,4.53,2.13,2.03,0.52,0,1.36,3.02,1.42,0,51.37,3.02,15.76,23.46,15.91,1.02,44.21,0.71,1.6,44.2,0.93,0.03,32.65,169.02,97.31,4.22,1.51,0.28,0.96,0.89,35.64,31.36,88,2.16,0,1.45,2.4,0.12,0,0,0,5.43,0.59,1.33,30.6,4
